"seen_total","question_6_pre","question_2_pre","question_4_pre","question_1_pre","question_3_pre","question_5_pre","engagement","survey_type","quiz_answer","engagement_1","engagement_3","engagement_2","question_2_post","question_3_post","question_5_post","question_6_post","question_1_post","question_4_post","demo_gender","demo_age","demo_asked","demo_school","demo_media","last.seen"
5,"1","1","1","1","2","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 19:21:14"
NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 19:21:00"
6,"3","1","1","1","4","1",0,"continuous","","","","","","","","","","","","",NA,"","","2021-05-10 19:18:40"
6,"4","4","4","6","1","4",1,"continuous","","No","","","","","","","","","","",NA,"","","2021-05-10 19:17:22"
0,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 19:16:50"
0,"5","5","7","7","5","7",1,"days","","","","","","","","","","","","",NA,"","","2021-05-10 19:16:14"
0,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 19:15:57"
0,"3","1","4","1","5","6",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 19:10:34"
2,"","","7","7","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 19:10:02"
5,"1","1","1","","1","1",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 19:09:44"
2,"6","","","","1","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 19:08:17"
6,"5","1","2","1","3","1",1,"continuous","","Yes","","Yes","","","","","","","","",NA,"","","2021-05-10 19:07:10"
2,"1","1","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 19:05:17"
3,"4","","1","","1","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 19:04:24"
6,"1","7","7","7","7","7",1,"continuous","D","Yes","Yes","Yes","1","7","4","7","7","7","","",NA,"","","2021-05-10 19:04:24"
6,"7","7","7","7","7","7",0,"continuous","","","","","","","","","","","","",NA,"","","2021-05-10 19:04:01"
0,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 19:02:47"
0,"1","1","1","6","1","1",1,"continuous","","Yes","","No","","","","","","","","",NA,"","","2021-05-10 19:00:32"
6,"7","7","7","7","7","7",0,"continuous","B","","","","7","7","7","7","7","7","Female","Over 65",1,"B","B","2021-05-10 19:00:09"
0,"6","6","7","4","5","4",1,"days","","","","","","","","","","","","",NA,"","","2021-05-10 18:59:03"
3,"","3","3","7","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 18:57:40"
NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 18:55:31"
NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 18:54:05"
1,"","1","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 18:51:46"
0,"6","6","4","6","5","6",1,"continuous","D","Yes","Yes","Yes","","","","","","","","",NA,"","","2021-05-10 18:51:15"
0,"4","1","1","7","1","5",1,"continuous","A","Yes","No","Yes","","You want my opinion, all major media and social media promote fake news and your poll proves you promote it too. Bye have a nice day.","","","","","","",NA,"","","2021-05-10 18:51:08"
6,"1","1","1","1","1","1",0,"continuous","","","","","","","","","","","","",NA,"","","2021-05-10 18:49:41"
3,"4","1","4","2","5","4",1,"continuous","B","Yes","Yes","No","","","1","1","2","","","",NA,"","","2021-05-10 18:48:30"
NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 18:48:05"
2,"7","7","7","7","","4",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 18:45:18"
6,"6","7","1","2","2","6",0,"continuous","","","","","","","","","","","","",NA,"","","2021-05-10 18:43:39"
NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 18:43:26"
6,"1","1","1","1","1","1",0,"continuous","","","","","","","","","","","","",NA,"","","2021-05-10 18:40:30"
6,"1","1","1","5","1","1",0,"continuous","","","","","","","","","","","","",NA,"","","2021-05-10 18:39:49"
5,"1","","1","4","1","1",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 18:39:46"
0,"1","1","1","6","2","4",0,"days","","","","","","","","","","","","",NA,"","","2021-05-10 18:39:28"
1,"1","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 18:37:51"
6,"2","2","2","1","5","1",0,"continuous","","","","","","","","","","","","",NA,"","","2021-05-10 18:37:49"
1,"","","","","1","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 18:37:35"
NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 18:37:13"
5,"4","4","2","","4","4",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 18:37:04"
6,"3","5","1","7","1","1",1,"continuous","","Yes","","I am done","","","","","","","","",NA,"","","2021-05-10 18:35:58"
6,"1","1","1","3","2","1",1,"continuous","","Yes","","","","","","","","","","",NA,"","","2021-05-10 18:34:34"
NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 18:33:25"
6,"2","1","2","1","4","1",0,"continuous","","","","","","","","","","","","",NA,"","","2021-05-10 18:33:21"
6,"3","1","5","1","6","1",0,"continuous","A","","","","1","6","1","1","1","1","Female","Over 65",1,"C","C","2021-05-10 18:32:39"
0,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 18:31:50"
0,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 18:31:10"
6,"7","1","6","1","7","4",1,"continuous","","Yes","","","","","","","","","","",NA,"","","2021-05-10 18:31:00"
5,"7","7","7","","6","7",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 18:29:54"
5,"7","","6","7","7","7",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 18:29:13"
5,"6","1","4","1","7","4",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 18:28:03"
NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 18:27:33"
NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 18:24:42"
5,"7","","6","6","6","4",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 18:23:45"
6,"4","1","4","1","3","1",0,"days","","","","","","","","","","","","",NA,"","","2021-05-10 18:22:47"
NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 18:21:18"
4,"","4","4","4","3","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 18:20:43"
NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 18:19:29"
5,"1","5","5","5","5","3",1,"continuous","B","Yes","Yes","Yes","","1","2","1","1","4","","",NA,"","","2021-05-10 18:18:41"
0,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 18:18:18"
6,"3","4","2","4","1","5",1,"continuous","this business you're trying to push on climate is as bad as your examples. I am a climate scientist and your examples and suggestions are shit","Yes","","Yes","","","","","","","","",NA,"","","2021-05-10 18:15:14"
NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 18:13:37"
5,"3","","2","2","2","3",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 18:13:05"
0,"6","3","4","6","2","3",0,"days","","","","","","","","","","","","",NA,"","","2021-05-10 18:10:37"
4,"","5","","3","3","5",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 18:08:47"
6,"6","5","6","7","6","2",1,"continuous","B","Yes","Yes","Yes","1","2","1","1","1","1","Male","Over 65",1,"D","D","2021-05-10 18:06:50"
6,"7","7","7","7","7","7",0,"continuous","","","","","","","","","","","","",NA,"","","2021-05-10 18:04:27"
NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 18:00:16"
5,"1","1","","1","1","1",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 17:59:46"
6,"3","3","4","4","3","3",0,"continuous","","","","","","","","","","","","",NA,"","","2021-05-10 17:59:14"
4,"","1","4","1","","1",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 17:57:43"
NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 17:55:41"
NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 17:53:57"
3,"6","","","","4","4",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 17:53:07"
5,"5","1","3","1","","4",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 17:53:05"
5,"5","5","5","5","5","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 17:52:50"
1,"6","2","5","6","1","2",1,"continuous","B","Yes","Yes","Yes","","1","","","","","","",NA,"","","2021-05-10 17:52:32"
0,"5","1","1","5","1","3",1,"days","","","","","","","","","","","","",NA,"","","2021-05-10 17:50:51"
0,"1","5","4","1","5","1",0,"days","","","","","","","","","","","","",NA,"","","2021-05-10 17:50:01"
1,"7","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 17:48:54"
NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 17:48:34"
0,"","","","","Nope not till I read for myself!!!","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 17:48:30"
1,"3","3","3","5","5","3",1,"continuous","A","Yes","No","Yes","","5","","","","","","",NA,"","","2021-05-10 17:47:36"
NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 17:44:41"
1,"","","1","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 17:44:23"
5,"2","1","1","1","6","1",0,"days","B","","","","1","7","1","4","1","","","",NA,"","","2021-05-10 17:43:55"
5,"1","1","1","","2","1",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 17:41:06"
5,"4","2","3","","1","1",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 17:40:49"
