"seen_total","question_6_pre","question_2_pre","question_4_pre","question_1_pre","question_3_pre","question_5_pre","engagement","survey_type","quiz_answer","engagement_1","engagement_3","engagement_2","question_2_post","question_3_post","question_5_post","question_6_post","question_1_post","question_4_post","demo_gender","demo_age","demo_asked","demo_school","demo_media","last.seen"
4,"7","7","1","1","1","7",0,"days","A","","","","2","","6","7","1","","","",NA,"","","2021-05-10 02:26:15"
6,"4","1","5","3","1","6",1,"days","","","","","","","","","","","","",NA,"","","2021-05-10 02:24:45"
2,"7","7","1","4","5","7",1,"continuous","A","Yes","Yes","Yes","7","7","","","","","","",NA,"","","2021-05-10 02:23:25"
6,"5","1","5","1","6","1",1,"continuous","A","Yes","Yes","No","1","2","1","5","1","1","Male","18-29",1,"C","E","2021-05-10 02:22:01"
6,"1","1","1","1","1","1",1,"continuous","","No","","","","","","","","","","",NA,"","","2021-05-10 02:19:37"
NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 02:18:37"
NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 02:17:20"
6,"2","3","4","4","1","2",1,"continuous","","Yes","","No","","","","","","","","",NA,"","","2021-05-10 02:17:17"
5,"","1","7","7","1","2",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 02:16:03"
5,"5","3","5","6","6","6",1,"continuous","C","Yes","Yes","Yes","6","2","4","6","2","","","",NA,"","","2021-05-10 02:15:27"
6,"2","1","2","1","4","3",1,"days","","","","","","","","","","","","",NA,"","","2021-05-10 02:15:10"
1,"","","","","4","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 02:14:36"
2,"4","","4","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 02:14:05"
5,"1","","7","7","1","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 02:13:08"
0,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 02:11:13"
0,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 02:10:11"
1,"","","","4","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 02:09:41"
6,"7","7","7","7","7","7",1,"days","","","","","","","","","","","","",NA,"","","2021-05-10 02:08:50"
1,"1","1","3","1","4","1",1,"days","A","https://scontent.xx.fbcdn.net/v/t39.1997-6/cp0/39178562_1505197616293642_5411344281094848512_n.png?_nc_cat=1&ccb=1-3&_nc_sid=ac3552&_nc_ohc=vrct4UXrHO0AX_dViWs&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&tp=30&oh=d646c07aaecf3822a9f6d19bb9d255ef&oe=60BE8049","Yes","Yes","","","2","","","","","",NA,"","","2021-05-10 02:07:57"
0,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 02:07:29"
0,"4","3","4","5","7","3",1,"days","","Yes","No","STOP!!!!","","","","","","","","",NA,"","","2021-05-10 02:07:17"
6,"4","5","7","1","7","5",1,"days","","","","","","","","","","","","",NA,"","","2021-05-10 02:06:59"
0,"","","","","","I need more info before I can decide.",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 02:05:30"
0,"3","4","6","2","5","2",1,"continuous","B","Yes","Yes","Yes","1","5","1","2","1","5","Female","Over 65",1,"D","B","2021-05-10 02:04:44"
NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 01:59:05"
6,"5","1","7","1","5","1",1,"days","","","","","","","","","","","","",NA,"","","2021-05-10 01:58:29"
6,"1","1","1","3","1","3",0,"days","","","","","","","","","","","","",NA,"","","2021-05-10 01:58:17"
6,"2","5","2","1","6","3",0,"days","","","","","","","","","","","","",NA,"","","2021-05-10 01:57:02"
2,"","7","Fuck off","","","7",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 01:55:56"
0,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 01:55:19"
5,"4","4","6","4","4","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 01:54:42"
1,"6","5","","5","","2",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 01:53:33"
0,"4","3","2","5","5","3",1,"days","","","","","","","","","","","","",NA,"","","2021-05-10 01:53:28"
0,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 01:52:11"
5,"","1","5","1","3","4",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 01:51:00"
NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 01:50:58"
0,"7","3","7","7","7","7",0,"continuous","A","","","","","","","","","https://scontent.xx.fbcdn.net/v/t39.1997-6/cp0/39178562_1505197616293642_5411344281094848512_n.png?_nc_cat=1&ccb=1-3&_nc_sid=ac3552&_nc_ohc=vrct4UXrHO0AX8E5GAV&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&tp=30&oh=178ca3edd797c41b748bb80716ba6732&oe=60BE8049","","",NA,"","","2021-05-10 01:50:41"
6,"4","1","4","4","1","4",1,"continuous","","No","","","","","","","","","","",NA,"","","2021-05-10 01:50:35"
4,"","4","5","7","7","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 01:50:23"
6,"6","5","5","6","4","5",1,"days","","","","","","","","","","","","",NA,"","","2021-05-10 01:50:04"
6,"7","1","4","7","1","6",0,"continuous","B","","","","1","5","6","6","3","4","Female","45-65",1,"C","A","2021-05-10 01:48:49"
6,"6","1","1","6","2","5",1,"continuous","Stop....this is stupid.  I am done with you and this crap.","Yes","","Sbe is a real doctor. I researched her and the others that spoke that day.","","","","","","","","",NA,"","","2021-05-10 01:48:45"
NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 01:48:28"
0,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 01:47:13"
6,"5","2","6","4","5","5",1,"continuous","A","Yes","Yes","Yes","1","1","1","1","1","2","Male","45-65",1,"B","B","2021-05-10 01:46:33"
6,"2","4","5","1","5","1",1,"days","A","OK","Yes","Yes","3","2","1","3","1","4","Female","45-65",1,"C","C","2021-05-10 01:45:55"
6,"1","1","4","4","4","4",0,"days","","","","","","","","","","","","",NA,"","","2021-05-10 01:43:46"
0,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 01:41:33"
5,"1","1","1","","1","1",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 01:40:53"
0,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 01:37:12"
4,"7","7","7","7","7","6",0,"continuous","C","","","","7","7","","7","7","https://scontent.xx.fbcdn.net/v/t39.1997-6/cp0/39178562_1505197616293642_5411344281094848512_n.png?_nc_cat=1&ccb=1-3&_nc_sid=ac3552&_nc_ohc=vrct4UXrHO0AX-lpdZD&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&tp=30&oh=69ae2a3fe1742f618670e403a785fbd9&oe=60BE8049","","",NA,"","","2021-05-10 01:35:47"
0,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 01:34:16"
NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 01:32:15"
NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 01:32:13"
6,"5","1","3","2","2","1",1,"continuous","","Yes","","Probably","","","","","","","","",NA,"","","2021-05-10 01:32:00"
NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 01:31:43"
5,"5","1","5","","7","6",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 01:31:06"
6,"5","5","1","5","5","5",1,"continuous","","Yes","","Yes","","","","","","","","",NA,"","","2021-05-10 01:31:04"
6,"1","1","4","6","1","2",1,"days","","","","","","","","","","","","",NA,"","","2021-05-10 01:30:11"
1,"7","1","1","7","6","6",1,"continuous","D","Yes","Yes","Yes","6","","","","","","","",NA,"","","2021-05-10 01:27:35"
0,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 01:27:27"
2,"5","6","1","7","4","5",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 01:26:45"
6,"5","5","4","6","1","3",1,"days","B","Yes","Yes","Yes","1","1","2","4","3","1","Female","45-65",1,"B","B","2021-05-10 01:26:36"
1,"","4","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 01:26:36"
NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 01:26:24"
0,"6","","3","7","1","1",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 01:24:50"
1,"7","5","3","7","1","1",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 01:24:36"
3,"","6","6","","4","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 01:24:33"
2,"1","1","1","1","1","2",1,"continuous","A","Yes","Yes","No","","1","","1","","","","",NA,"","","2021-05-10 01:22:03"
2,"1","","1","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 01:21:07"
6,"1","1","1","1","1","1",0,"days","","","","","","","","","","","","",NA,"","","2021-05-10 01:19:12"
6,"7","1","7","7","1","1",0,"days","","","","","","","","","","","","",NA,"","","2021-05-10 01:18:44"
6,"7","1","7","7","1","2",1,"days","","","","","","","","","","","","",NA,"","","2021-05-10 01:18:43"
NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 01:18:36"
5,"3","1","4","7","3","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 01:18:09"
6,"7","7","7","7","7","7",1,"days","","","","","","","","","","","","",NA,"","","2021-05-10 01:17:01"
0,"","7","7","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 01:16:58"
1,"","1","1","6","1","1",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 01:16:48"
6,"6","6","6","5","5","5",1,"continuous","","Yes","","","","","","","","","","",NA,"","","2021-05-10 01:14:12"
5,"7","","4","7","1","7",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 01:13:37"
1,"","4","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 01:13:16"
5,"1","1","","1","","3",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 01:09:11"
NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 01:06:42"
6,"1","1","1","1","","1",0,"continuous","","","","","","","","","","","","",NA,"","","2021-05-10 01:06:37"
0,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 01:06:11"
0,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 01:06:08"
0,"1","1","1","5","1","1",0,"continuous","","","","","","","","","","","","",NA,"","","2021-05-10 01:06:06"
0,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 01:04:42"
6,"7","3","7","7","5","7",0,"days","","","","","","","","","","","","",NA,"","","2021-05-10 01:04:34"
5,"1","1","6","","1","1",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 01:04:20"
6,"3","2","4","1","3","3",1,"days","","","","","","","","","","","","",NA,"","","2021-05-10 01:04:10"
6,"6","5","5","6","2","2",0,"days","A","","","","2","2","4","2","2","2","Male","45-65",1,"B","A","2021-05-10 01:04:02"
6,"3","1","1","5","1","3",1,"days","","","","","","","","","","","","",NA,"","","2021-05-10 01:01:28"
6,"4","1","4","1","6","1",0,"days","A","","","","","","","","","","","",NA,"","","2021-05-10 00:59:27"
NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 00:57:22"
NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 00:55:20"
1,"","","","","1","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 00:55:05"
3,"1","","","1","2","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 00:54:48"
0,"1","1","3","1","1","4",1,"continuous","A","Yes","Yes","Yes","","1","3","1","","","","",NA,"","","2021-05-10 00:54:48"
0,"1","1","2","2","","1",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 00:54:19"
0,"6","1","4","6","1","3",0,"continuous","","","","","","","","","","","","",NA,"","","2021-05-10 00:52:45"
6,"1","5","7","7","1","7",0,"continuous","","","","","","","","","","","","",NA,"","","2021-05-10 00:52:13"
5,"3","3","4","3","1","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 00:51:58"
6,"6","7","6","5","7","5",1,"days","","","","","","","","","","","","",NA,"","","2021-05-10 00:50:52"
6,"4","1","1","1","7","1",1,"days","","","","","","","","","","","","",NA,"","","2021-05-10 00:50:45"
6,"1","6","6","6","1","6",0,"continuous","","","","","","","","","","","","",NA,"","","2021-05-10 00:48:19"
NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 00:46:59"
0,"5","1","5","5","1","5",0,"days","","","","","4","1","6","3","7","3","Male","Over 65",1,"B","A","2021-05-10 00:46:16"
0,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 00:45:54"
NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 00:43:42"
0,"6","7","7","6","1","7",1,"continuous","B","Yes","Yes","Yes","","","","","","","","",NA,"","","2021-05-10 00:42:20"
6,"3","1","1","1","3","2",1,"days","","","","","","","","","","","","",NA,"","","2021-05-10 00:41:03"
0,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 00:40:54"
6,"1","1","1","7","1","3",0,"continuous","","","","","","","","","","","","",NA,"","","2021-05-10 00:40:21"
6,"7","3","5","5","5","5",1,"days","","","","","","","","","","","","",NA,"","","2021-05-10 00:39:28"
1,"","1","","","","1",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 00:38:06"
1,"6","6","6","6","6","6",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 00:36:51"
0,"5","6","7","2","7","7",1,"days","","","","","","","","","","","","",NA,"","","2021-05-10 00:34:48"
6,"5","1","6","1","6","1",0,"continuous","I'm about to block you. STOP STOP STOP","","","","","","","","","","","",NA,"","","2021-05-10 00:33:15"
5,"4","","4","3","4","3",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 00:33:13"
6,"1","1","1","1","1","1",1,"continuous","","Yes","","","","","","","","","","",NA,"","","2021-05-10 00:30:14"
6,"5","1","7","6","7","7",0,"continuous","C","","","","5","6","6","4","6","3","Male","Over 65",1,"C","A","2021-05-10 00:28:35"
NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 00:28:23"
2,"4","4","7","5","4","6",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 00:25:31"
6,"7","3","4","6","2","3",1,"days","","","","","","","","","","","","",NA,"","","2021-05-10 00:24:35"
NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 00:23:02"
6,"1","1","1","1","1","1",0,"days","","","","","","","","","","","","",NA,"","","2021-05-10 00:21:00"
6,"1","1","7","1","7","5",1,"continuous","","","","","","","","","","","","",NA,"","","2021-05-10 00:20:55"
0,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 00:20:06"
NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 00:19:43"
1,"","4","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 00:19:30"
4,"","","7","7","7","7",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 00:17:34"
5,"1","1","1","1","1","1",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 00:16:47"
NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 00:15:09"
6,"2","1","2","3","2","3",0,"days","","","","","","","","","","","","",NA,"","","2021-05-10 00:14:57"
0,"7","5","7","7","1","7",0,"days","A","","","","","","","","","","","",NA,"","","2021-05-10 00:14:43"
6,"3","1","2","2","1","2",0,"continuous","A","","","","1","1","2","2","2","1","Female","45-65",1,"B","A","2021-05-10 00:14:28"
6,"1","4","1","3","1","5",1,"continuous","","Yes","","","","","","","","","","",NA,"","","2021-05-10 00:13:03"
2,"1","7","1","7","1","2",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 00:11:37"
1,"","4","","","","Printing is too small. Cant read it. I'm 76 yrs old sorry",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 00:11:32"
1,"","","","1","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 00:11:30"
6,"4","7","","7","4","1",0,"days","","","","","","","","","","","","",NA,"","","2021-05-10 00:08:46"
5,"4","1","7","7","7","",1,"continuous","C","Yes","Yes","No","7","3","1","3","","7","","",NA,"","","2021-05-10 00:07:02"
NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 00:05:21"
0,"","","","","","go away",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 00:04:25"
0,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 00:03:09"
6,"4","1","1","7","1","1",0,"days","","","","","","","","","","","","",NA,"","","2021-05-10 00:02:19"
3,"1","","1","","","1",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 00:01:06"
6,"5","5","5","5","5","5",1,"continuous","","Yes","","No","","","","","","","","",NA,"","","2021-05-10 00:00:11"
0,"1","1","","2","7","3",NA,"","","","","","","","","","","","","",NA,"","","2021-05-09 23:59:25"
3,"","1","","1","3","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-09 23:58:18"
NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-09 23:58:11"
1,"1","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-09 23:56:14"
5,"3","","1","4","4","5",NA,"","","","","","","","","","","","","",NA,"","","2021-05-09 23:51:55"
2,"","","1","","7","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-09 23:51:51"
5,"7","4","1","7","","6",NA,"","","","","","","","","","","","","",NA,"","","2021-05-09 23:50:26"
5,"","1","2","1","4","5",NA,"","","","","","","","","","","","","",NA,"","","2021-05-09 23:49:08"
6,"4","1","3","5","3","7",1,"continuous","","Yes","","Yes","","","","","","","","",NA,"","","2021-05-09 23:48:50"
2,"","","","7","1","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-09 23:48:26"
4,"7","6","","7","6","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-09 23:47:24"
NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-09 23:45:42"
5,"4","1","","1","6","4",NA,"","","","","","","","","","","","","",NA,"","","2021-05-09 23:45:04"
3,"1","1","","","","2",NA,"","","","","","","","","","","","","",NA,"","","2021-05-09 23:43:33"
0,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-09 23:43:24"
5,"7","4","7","7","3","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-09 23:41:11"
0,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-09 23:40:53"
6,"1","1","1","1","4","1",1,"days","","","","","","","","","","","","",NA,"","","2021-05-09 23:36:41"
0,"1","1","1","1","1","1",1,"continuous","A","Yes","Yes","Yes","","","stop","","","","","",NA,"","","2021-05-09 23:36:34"
0,"4","2","1","2","2","4",1,"days","","","","","","","","","","","","",NA,"","","2021-05-09 23:33:22"
6,"2","2","2","7","3","6",0,"days","","","","","","","","","","","","",NA,"","","2021-05-09 23:31:25"
6,"5","1","2","1","5","2",1,"days","","","","","","","","","","","","",NA,"","","2021-05-09 23:29:14"
1,"","","6","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-09 23:29:14"
6,"1","1","1","1","1","1",0,"continuous","A","","","","1","1","1","1","1","1","Male","45-65",1,"C","B","2021-05-09 23:28:22"
6,"1","1","1","1","1","1",0,"continuous","","","","","","","","","","","","",NA,"","","2021-05-09 23:28:05"
5,"7","1","7","1","1","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-09 23:25:53"
1,"Can't read it!","","","","6","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-09 23:24:57"
0,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-09 23:23:50"
6,"5","5","5","5","5","5",1,"days","","","","","","","","","","","","",NA,"","","2021-05-09 23:23:25"
6,"6","1","5","5","6","5",0,"days","","","","","","","","","","","","",NA,"","","2021-05-09 23:23:16"
2,"","","","1","","1",NA,"","","","","","","","","","","","","",NA,"","","2021-05-09 23:21:16"
6,"1","1","1","1","1","1",1,"days","C","https://scontent.xx.fbcdn.net/v/t39.1997-6/cp0/39178562_1505197616293642_5411344281094848512_n.png?_nc_cat=1&ccb=1-3&_nc_sid=ac3552&_nc_ohc=vrct4UXrHO0AX9QSdSQ&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&tp=30&oh=e162e2703ea1308c38ac17e6855dab55&oe=60BE8049","No","No","1","1","1","1","1","1","Female","45-65",1,"B","C","2021-05-09 23:16:56"
NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-09 23:16:27"
0,"5","5","5","6","4","4",0,"continuous","C","","","","","","","","","","","",NA,"","","2021-05-09 23:16:09"
NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-09 23:16:02"
NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-09 23:11:52"
1,"","","","","4","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-09 23:11:23"
2,"3","3","5","3","3","3",0,"days","https://scontent.xx.fbcdn.net/v/t39.1997-6/p100x100/851582_369239386556143_1497813874_n.png?_nc_cat=1&ccb=1-3&_nc_sid=ac3552&_nc_ohc=rCcJ5-NmYeIAX-aIq9o&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&tp=30&oh=3e913eeb4834c89e312f6da8fad86889&oe=60BBA233","","","","https://scontent.xx.fbcdn.net/v/t39.1997-6/cp0/39178562_1505197616293642_5411344281094848512_n.png?_nc_cat=1&ccb=1-3&_nc_sid=ac3552&_nc_ohc=vrct4UXrHO0AX86lk3l&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&tp=30&oh=52248262dd12ec297d67d737638df23c&oe=60BE8049","2","","","","","","",NA,"","","2021-05-09 23:10:26"
6,"7","7","2","6","3","5",0,"days","","","","","","","","","","","","",NA,"","","2021-05-09 23:08:42"
6,"1","1","1","1","1","1",0,"continuous","STOP","","","","","","","","","","","",NA,"","","2021-05-09 23:05:41"
5,"7","7","6","1","6","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-09 23:05:40"
0,"4","2","1","3","1","1",0,"continuous","B","","","","1","1","1","4","1","1","Female","Over 65",1,"C","A","2021-05-09 23:05:32"
6,"1","2","1","1","6","1",0,"continuous","","","","","","","","","","","","",NA,"","","2021-05-09 23:05:26"
0,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-09 23:05:17"
0,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-09 23:03:47"
6,"1","1","1","1","1","1",0,"continuous","A","","","","1","1","1","1","1","1","Other","18-29",1,"D","A","2021-05-09 23:02:56"
5,"2","2","2","5","1","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-09 23:01:09"
0,"6","7","6","7","7","6",1,"continuous","A","Yes","Yes","Yes","","","","","","","","",NA,"","","2021-05-09 22:57:25"
6,"1","1","1","1","1","1",1,"days","","","","","","","","","","","","",NA,"","","2021-05-09 22:57:23"
0,"1","1","1","7","1","1",0,"continuous","A","","","","","","","","","","","",NA,"","","2021-05-09 22:56:53"
0,"4","4","4","4","","4",1,"days","No","No","No","I think it is a question that both sides 0f the coin appear to only believe their own opinion, and research only their opinion","","","","","","","","",NA,"","","2021-05-09 22:55:49"
NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-09 22:55:20"
0,"6","5","4","6","2","7",1,"continuous","B","Yes","Yes","Yes","","","","","","","","",NA,"","","2021-05-09 22:54:41"
5,"5","1","","1","6","7",NA,"","","","","","","","","","","","","",NA,"","","2021-05-09 22:52:01"
0,"1","1","1","1","3","1",1,"days","","","","","","","","","","","","",NA,"","","2021-05-09 22:51:52"
0,"5","1","","1","","6",NA,"","","","","","","","","","","","","",NA,"","","2021-05-09 22:42:39"
6,"1","1","1","1","1","1",1,"continuous","B","No","No","No","1","1","1","1","1","1","Male","45-65",1,"B","D","2021-05-09 22:42:22"
6,"5","6","5","5","3","5",0,"continuous","","","","","","","","","","","","",NA,"","","2021-05-09 22:40:58"
6,"2","1","3","1","4","2",1,"days","","","","","","","","","","","","",NA,"","","2021-05-09 22:37:37"
2,"7","","","","","7",NA,"","","","","","","","","","","","","",NA,"","","2021-05-09 22:35:43"
0,"1","3","1","1","1","2",1,"continuous","B","Yes","Yes","Yes","","","","","","","","",NA,"","","2021-05-09 22:34:46"
6,"3","1","3","1","4","1",1,"continuous","All","Yes","","Yes","","","","","","","","",NA,"","","2021-05-09 22:34:33"
5,"4","7","7","1","7","1",1,"days","A","Yes","No","Yes","4","1","1","5","1","","","",NA,"","","2021-05-09 22:34:23"
0,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-09 22:32:23"
NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-09 22:28:00"
6,"1","4","5","3","4","1",1,"continuous","D","No","Yes","No","1","4","4","2","3","1","Female","Over 65",1,"D","B","2021-05-09 22:22:16"
6,"1","2","2","1","6","2",0,"days","","","","","","","","","","","","",NA,"","","2021-05-09 22:20:48"
NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-09 22:18:58"
4,"7","7","","5","","7",NA,"","","","","","","","","","","","","",NA,"","","2021-05-09 22:18:38"
0,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-09 22:17:43"
NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-09 22:16:24"
0,"1","4","1","1","7","4",1,"continuous","","Yes","","","","","","","","","","",NA,"","","2021-05-09 22:15:54"
2,"","7","","","7","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-09 22:12:50"
NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-09 22:12:34"
0,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-09 22:09:30"
5,"","1","1","1","6","1",NA,"","","","","","","","","","","","","",NA,"","","2021-05-09 22:09:08"
3,"","","3","5","","5",NA,"","","","","","","","","","","","","",NA,"","","2021-05-09 22:07:40"
6,"2","1","7","7","6","3",1,"days","","","","","","","","","","","","",NA,"","","2021-05-09 22:07:17"
6,"6","6","6","6","6","6",0,"days","","","","","","","","","","","","",NA,"","","2021-05-09 22:06:11"
6,"6","5","5","6","6","6",0,"continuous","B","","","","3","3","2","3","3","3","Female","Over 65",1,"C","A","2021-05-09 22:05:06"
0,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-09 22:03:27"
6,"7","7","6","1","7","5",1,"continuous","A","Yes","Yes","Yes","1","5","4","5","1","6","Female","Over 65",1,"D","A","2021-05-09 21:59:43"
NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-09 21:59:04"
5,"2","7","7","1","","2",NA,"","","","","","","","","","","","","",NA,"","","2021-05-09 21:59:03"
2,"1","","1","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-09 21:58:13"
4,"7","7","","","7","2",NA,"","","","","","","","","","","","","",NA,"","","2021-05-09 21:58:06"
3,"7","","5","","6","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-09 21:56:26"
2,"7","","","7","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-09 21:55:12"
4,"","7","","7","7","4",NA,"","","","","","","","","","","","","",NA,"","","2021-05-09 21:54:37"
6,"7","1","1","3","7","4",1,"days","","","","","","","","","","","","",NA,"","","2021-05-09 21:53:43"
0,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-09 21:53:30"
