"seen_total","last.seen","survey_type","engagement","engagement_1","engagement_2","engagement_3","quiz_answer","demo_gender","demo_age","demo_asked","demo_school","demo_media","question_2_pre","question_6_pre","question_4_pre","question_1_pre","question_3_pre","question_5_pre","question_2_post","question_3_post","question_6_post","question_5_post","question_1_post","question_4_post","finished_post"
0,"2021-05-11 21:04:02","continuous",1,"No","Yes","","","","",NA,"","","7","7","7","2","7","7","","","","","","",FALSE
6,"2021-05-11 20:51:52","continuous",0,"","","","","","",NA,"","","1","2","3","1","2","2","","","","","","",FALSE
0,"2021-05-11 20:45:14","days",0,"","","","","","",NA,"","","1","3","3","1","5","1","","","","","","",FALSE
0,"2021-05-11 20:42:18","days",1,"Yes","No","Yes","A","","",NA,"","","1","7","5","1","6","2","","","","","","",FALSE
0,"2021-05-11 20:30:40","continuous",0,"","","","D","","",NA,"","","1","7","1","7","3","6","","","","","","",FALSE
0,"2021-05-11 20:27:47","continuous",1,"Yes","Yes","Yes","A","","",NA,"","","1","1","1","1","1","1","","","","","","",FALSE
NA,"2021-05-11 20:16:05","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
6,"2021-05-11 19:51:05","days",1,"Yes","No","","D","","",NA,"","","1","1","1","7","1","4","","","","","","",FALSE
0,"2021-05-11 19:47:26","continuous",0,"","","","B","","",NA,"","","6","5","2","7","1","4","","","","","","",FALSE
0,"2021-05-11 19:40:53","continuous",1,"Yes","Yes","Yes","A","","",NA,"","","1","4","1","1","7","1","","","","","","",FALSE
6,"2021-05-11 19:38:29","days",1,"Yes","Yes","","A","","",NA,"","","1","3","4","3","3","2","","","","","","",FALSE
0,"2021-05-11 19:25:19","days",0,"","","","","","",NA,"","","7","7","4","7","5","7","","","","","","",FALSE
0,"2021-05-11 19:21:06","continuous",1,"Yes","No","Yes","B","","",NA,"","","1","4","2","2","4","1","","","","","","",FALSE
0,"2021-05-11 19:20:03","continuous",1,"Yes","No","Yes","C","","",NA,"","","5","7","6","6","1","7","","","","","","",FALSE
6,"2021-05-11 19:13:44","continuous",0,"","","","","","",NA,"","","4","5","6","1","7","4","","","","","","",FALSE
0,"2021-05-11 19:12:43","continuous",1,"Yes","Yes","Yes","A","","",NA,"","","1","1","1","6","1","2","","","","","","",FALSE
0,"2021-05-11 19:10:42","continuous",1,"Yes","Yes","Yes","A","","",NA,"","","1","3","1","3","1","1","","","","","","",FALSE
1,"2021-05-11 19:07:33","",NA,"","","","","","",NA,"","","","","","4","","","","","","","","",FALSE
6,"2021-05-11 19:03:10","continuous",1,"Yes","No","","D","","",NA,"","","4","4","4","1","6","5","","","","","","",FALSE
6,"2021-05-11 19:00:29","continuous",1,"Yes","https://scontent.xx.fbcdn.net/v/t39.1997-6/cp0/39178562_1505197616293642_5411344281094848512_n.png?_nc_cat=1&ccb=1-3&_nc_sid=ac3552&_nc_ohc=aHnmHNL0k5EAX8BeOpm&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&tp=30&oh=51cf63a0c92efe9e19b58a52aab7d23a&oe=60BE8049","","","","",NA,"","","7","7","7","","7","3","","","","","","",FALSE
0,"2021-05-11 18:59:16","",NA,"","","","","","",NA,"","","6","","","6","6","6","","","","","","",FALSE
6,"2021-05-11 18:59:11","continuous",1,"Yes","","","","","",NA,"","","1","2","2","1","1","1","","","","","","",FALSE
6,"2021-05-11 18:59:05","continuous",0,"","","","","","",NA,"","","2","4","2","1","7","4","","","","","","",FALSE
3,"2021-05-11 18:59:01","",NA,"","","","","","",NA,"","","3","3","","3","","","","","","","","",FALSE
6,"2021-05-11 18:58:31","continuous",0,"","","","","","",NA,"","","7","7","7","7","7","7","","","","","","",FALSE
0,"2021-05-11 18:57:14","",NA,"","","","","","",NA,"","","1","2","1","1","7","1","","","","","","",FALSE
0,"2021-05-11 18:55:59","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
0,"2021-05-11 18:54:57","continuous",0,"","","","C","","",NA,"","","6","6","6","6","6","6","","","","","","",FALSE
6,"2021-05-11 18:54:43","continuous",0,"","","","","","",NA,"","","1","1","1","1","1","1","","","","","","",FALSE
6,"2021-05-11 18:54:33","continuous",0,"","","","","","",NA,"","","1","1","1","1","1","1","","","","","","",FALSE
6,"2021-05-11 18:54:01","continuous",0,"","","","","","",NA,"","","4","3","2","1","5","1","","","","","","",FALSE
6,"2021-05-11 18:53:33","continuous",0,"","","","","","",NA,"","","2","3","2","1","4","2","","","","","","",FALSE
6,"2021-05-11 18:53:00","continuous",0,"","","","","","",NA,"","","4","7","4","6","4","6","","","","","","",FALSE
NA,"2021-05-11 18:51:42","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
6,"2021-05-11 18:51:22","continuous",0,"","","","","","",NA,"","","1","1","7","1","7","1","","","","","","",FALSE
0,"2021-05-11 18:50:29","days",1,"ok","you mean like 97% of scientist agree man made global warming is going to destroy the planet?","No","c","Male","45-65",1,"C","C","1","1","1","4","1","1","7","","3","6","7","1",FALSE
0,"2021-05-11 18:50:15","continuous",0,"","","","A","","",NA,"","","1","4","1","7","1","7","","","","","","",FALSE
0,"2021-05-11 18:49:58","continuous",1,"Yes","Yes","No","B","","",NA,"","","4","7","2","7","6","4","","","","","","",FALSE
NA,"2021-05-11 18:49:54","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
0,"2021-05-11 18:48:37","",NA,"","","","","","",NA,"","","","No ..I do not want to  priceed!!!","","","","","","","","","","",FALSE
NA,"2021-05-11 18:48:05","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
0,"2021-05-11 18:47:31","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
6,"2021-05-11 18:47:08","continuous",0,"","","","","","",NA,"","","3","7","5","5","1","4","","","","","","",FALSE
2,"2021-05-11 18:46:47","",NA,"","","","","","",NA,"","","","","2","","4","","","","","","","",FALSE
6,"2021-05-11 18:46:36","continuous",0,"","","","","","",NA,"","","5","5","5","7","5","1","","","","","","",FALSE
NA,"2021-05-11 18:45:47","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
0,"2021-05-11 18:45:03","",NA,"","","","","","",NA,"","","7","7","7","7","","","","","","","","",FALSE
NA,"2021-05-11 18:44:08","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
0,"2021-05-11 18:43:49","continuous",0,"","","","B","","",NA,"","","7","7","7","7","7","7","","","","","","",FALSE
6,"2021-05-11 18:43:47","continuous",0,"","","","","","",NA,"","","1","3","3","1","2","3","","","","","","",FALSE
NA,"2021-05-11 18:43:33","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
0,"2021-05-11 18:43:30","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
6,"2021-05-11 18:41:46","continuous",0,"","","","","","",NA,"","","2","4","3","7","1","3","","","","","","",FALSE
0,"2021-05-11 18:40:32","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
6,"2021-05-11 18:40:19","continuous",0,"","","","","","",NA,"","","1","2","3","1","5","1","","","","","","",FALSE
NA,"2021-05-11 18:40:15","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
1,"2021-05-11 18:39:59","",NA,"","","","","","",NA,"","","6","","","","","","","","","","","",FALSE
6,"2021-05-11 18:38:55","continuous",0,"","","","","","",NA,"","","1","2","5","1","7","4","","","","","","",FALSE
2,"2021-05-11 18:37:41","",NA,"","","","","","",NA,"","","","","","1","4","1","","","","","","",FALSE
NA,"2021-05-11 18:37:20","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
0,"2021-05-11 18:36:43","continuous",0,"","","","D","","",NA,"","","7","5","6","7","7","5","","","","","","",FALSE
6,"2021-05-11 18:36:19","continuous",1,"Yes","","","","","",NA,"","","6","6","5","2","5","5","","","","","","",FALSE
3,"2021-05-11 18:36:03","",NA,"","","","","","",NA,"","","1","4","","","1","","","","","","","",FALSE
0,"2021-05-11 18:35:24","continuous",1,"No","","","","","",NA,"","","4","4","4","6","1","4","","","","","","",FALSE
0,"2021-05-11 18:35:15","continuous",0,"","","","B","","",NA,"","","6","6","6","6","6","6","","","","","","",FALSE
6,"2021-05-11 18:34:44","continuous",0,"","","","","","",NA,"","","4","2","3","3","4","5","","","","","","",FALSE
4,"2021-05-11 18:33:44","",NA,"","","","","","",NA,"","","","7","5","6","3","","","","","","","",FALSE
4,"2021-05-11 18:33:18","",NA,"","","","","","",NA,"","","3","1","3","3","","","","","","","","",FALSE
NA,"2021-05-11 18:31:41","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
0,"2021-05-11 18:31:24","continuous",1,"No","No","No","C","","",NA,"","","6","6","7","5","5","6","","","","","","",FALSE
0,"2021-05-11 18:29:55","continuous",1,"https://scontent.xx.fbcdn.net/v/t39.1997-6/cp0/39178562_1505197616293642_5411344281094848512_n.png?_nc_cat=1&ccb=1-3&_nc_sid=ac3552&_nc_ohc=vrct4UXrHO0AX9bL-oV&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&tp=30&oh=5a744a59a34383e2584252a950c1b6d9&oe=60BE8049","Yes","https://scontent.xx.fbcdn.net/v/t39.1997-6/cp0/39178562_1505197616293642_5411344281094848512_n.png?_nc_cat=1&ccb=1-3&_nc_sid=ac3552&_nc_ohc=vrct4UXrHO0AX9bL-oV&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&tp=30&oh=5a744a59a34383e2584252a950c1b6d9&oe=60BE8049","D","","",NA,"","","7","7","7","7","7","7","","","","","","",FALSE
0,"2021-05-11 18:27:51","continuous",1,"Yes","Yes","Yes","B","","",NA,"","","2","4","2","2","6","1","","","","","","",FALSE
0,"2021-05-11 18:27:46","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
0,"2021-05-11 18:27:19","continuous",1,"Yes","Yes","Yes","B","","",NA,"","","1","5","4","2","3","2","","","","","","",FALSE
2,"2021-05-11 18:26:18","",NA,"","","","","","",NA,"","","1","1","","","","","","","","","","",FALSE
0,"2021-05-11 18:25:23","continuous",0,"","","","D","Female","45-65",1,"C","E","1","6","3","2","2","3","1","2","4","2","1","2",TRUE
6,"2021-05-11 18:24:54","continuous",0,"","","","","","",NA,"","","1","5","2","1","7","5","","","","","","",FALSE
NA,"2021-05-11 18:24:19","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
6,"2021-05-11 18:22:34","continuous",1,"Yes","https://scontent.xx.fbcdn.net/v/t39.1997-6/cp0/39178562_1505197616293642_5411344281094848512_n.png?_nc_cat=1&ccb=1-3&_nc_sid=ac3552&_nc_ohc=vrct4UXrHO0AX-k3S7p&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&tp=30&oh=ce4d8ea3123240dc4d171a84567a6ef9&oe=60BE8049","","","","",NA,"","","6","7","7","6","7","7","","","","","","",FALSE
0,"2021-05-11 18:21:41","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
0,"2021-05-11 18:20:46","",NA,"","","","","","",NA,"","","7","7","1","1","7","6","","","","","","",FALSE
2,"2021-05-11 18:17:16","",NA,"","","","","","",NA,"","","7","","7","","","","","","","","","",FALSE
6,"2021-05-11 18:14:48","continuous",0,"","","","","","",NA,"","","5","5","6","6","7","5","","","","","","",FALSE
3,"2021-05-11 18:14:32","",NA,"","","","","","",NA,"","","","6","","6","6","","","","","","","",FALSE
5,"2021-05-11 18:13:06","",NA,"","","","","","",NA,"","","4","","4","1","3","1","","","","","","",FALSE
0,"2021-05-11 18:12:55","continuous",1,"Yes","No","No","D","","",NA,"","","1","1","7","7","1","7","","","","","","",FALSE
1,"2021-05-11 18:10:01","",NA,"","","","","","",NA,"","","","","","","","3","","","","","","",FALSE
0,"2021-05-11 18:09:49","continuous",1,"Yes","Yes","Yes","A","","",NA,"","","1","3","3","1","5","1","","","","","","",FALSE
6,"2021-05-11 18:09:22","continuous",0,"","","","","","",NA,"","","4","1","6","5","6","5","","","","","","",FALSE
0,"2021-05-11 18:08:17","days",0,"","","","","","",NA,"","","1","7","1","7","1","7","","","","","","",FALSE
NA,"2021-05-11 18:07:46","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
0,"2021-05-11 18:07:10","continuous",1,"Yes","Yes","Yes","C","","",NA,"","","3","1","5","2","1","4","","","","","","",FALSE
0,"2021-05-11 18:06:15","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
6,"2021-05-11 18:06:06","continuous",1,"Yes","","","","","",NA,"","","5","3","2","2","5","5","","","","","","",FALSE
0,"2021-05-11 18:05:11","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
6,"2021-05-11 18:04:21","continuous",1,"Yes","Yes","","","","",NA,"","","1","1","3","1","7","1","","","","","","",FALSE
3,"2021-05-11 18:04:19","",NA,"","","","","","",NA,"","","","6","","6","6","","","","","","","",FALSE
0,"2021-05-11 18:04:07","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
NA,"2021-05-11 18:03:57","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
0,"2021-05-11 18:02:03","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
NA,"2021-05-11 18:01:28","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
6,"2021-05-11 17:59:53","continuous",1,"Yes","Yes","","Dumb","","",NA,"","","1","1","1","6","1","1","","","","","","",FALSE
0,"2021-05-11 17:59:45","continuous",1,"Yes","No","Yes","D","","",NA,"","","1","3","4","1","5","5","","","","","","",FALSE
6,"2021-05-11 17:57:16","continuous",1,"Yes","Yes","","","","",NA,"","","1","1","1","1","1","1","","","","","","",FALSE
6,"2021-05-11 17:56:19","continuous",0,"","","","","","",NA,"","","1","5","5","4","7","2","","","","","","",FALSE
0,"2021-05-11 17:52:22","continuous",1,"Yes","Yes","Yes","C","","",NA,"","","1","6","1","1","7","3","","","","","","",FALSE
1,"2021-05-11 17:50:31","",NA,"","","","","","",NA,"","","","","","","","1","","","","","","",FALSE
1,"2021-05-11 17:49:49","",NA,"","","","","","",NA,"","","","","","","","1","","","","","","",FALSE
6,"2021-05-11 17:47:12","continuous",1,"Yes","","","","","",NA,"","","7","7","7","7","7","7","","","","","","",FALSE
NA,"2021-05-11 17:46:10","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
6,"2021-05-11 17:45:25","continuous",0,"","","","","","",NA,"","","4","5","4","5","2","3","","","","","","",FALSE
6,"2021-05-11 17:45:23","continuous",0,"","","","","","",NA,"","","1","4","3","7","1","3","","","","","","",FALSE
NA,"2021-05-11 17:44:52","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
0,"2021-05-11 17:44:12","continuous",0,"","","","A","","",NA,"","","1","3","3","1","7","1","","","","","","",FALSE
2,"2021-05-11 17:37:25","",NA,"","","","","","",NA,"","","7","7","","","","","","","","","","",FALSE
0,"2021-05-11 17:36:48","continuous",1,"Yes","Yes","Yes","D","","",NA,"","","1","1","5","1","1","7","","","","","","",FALSE
0,"2021-05-11 17:35:50","days",0,"","","","A","Male","Over 65",1,"D","C","6","7","6","5","4","5","4","3","6","4","3","3",TRUE
6,"2021-05-11 17:34:59","continuous",1,"Yes","Bye to difficult to read","","","","",NA,"","","3","1","1","4","1","1","","","","","","",FALSE
0,"2021-05-11 17:33:46","continuous",0,"","","","https://scontent.xx.fbcdn.net/v/t39.1997-6/p100x100/851587_369239346556147_162929011_n.png?_nc_cat=1&ccb=1-3&_nc_sid=ac3552&_nc_ohc=rChoo0BXPQQAX_8s11C&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&tp=30&oh=de818ec7d42caf07af7653489f7b953f&oe=60BA9350","","",NA,"","","4","7","6","1","7","4","","","","","","",FALSE
6,"2021-05-11 17:33:34","continuous",1,"No","","","","","",NA,"","","4","5","3","7","1","4","","","","","","",FALSE
NA,"2021-05-11 17:32:20","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
6,"2021-05-11 17:31:07","continuous",0,"","","","","","",NA,"","","2","3","1","1","4","3","","","","","","",FALSE
6,"2021-05-11 17:29:32","continuous",1,"Yes","Yes","","","","",NA,"","","3","3","1","1","4","1","","","","","","",FALSE
6,"2021-05-11 17:29:07","days",1,"","","No","","Male","45-65",1,"C","D","1","1","1","1","3","1","1","3","1","1","1","1",TRUE
0,"2021-05-11 17:27:59","continuous",0,"","","","A","","",NA,"","","1","1","6","1","7","2","","","","","","",FALSE
0,"2021-05-11 17:23:52","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
6,"2021-05-11 17:23:18","days",1,"Yes","Yes","","A","","",NA,"","","7","7","7","7","7","5","","","","","","",FALSE
6,"2021-05-11 17:22:41","continuous",1,"Yes","Yes","","","","",NA,"","","1","3","6","1","7","4","","","","","","",FALSE
5,"2021-05-11 17:21:28","",NA,"","","","","","",NA,"","","","6","4","6","4","7","","","","","","",FALSE
0,"2021-05-11 17:19:45","continuous",1,"No","Yes","Yes","B","","",NA,"","","3","2","2","1","2","4","","","","","","",FALSE
6,"2021-05-11 17:16:47","continuous",1,"Yes","This sounds more like indoctrination than “research” I think I’m done.","","","","",NA,"","","1","3","2","4","1","1","","","","","","",FALSE
6,"2021-05-11 17:15:34","continuous",1,"Yes","Yes","","","","",NA,"","","1","2","1","1","1","3","","","","","","",FALSE
6,"2021-05-11 17:15:08","continuous",0,"","","","","","",NA,"","","1","6","1","7","1","1","","","","","","",FALSE
0,"2021-05-11 17:14:40","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
6,"2021-05-11 17:14:33","continuous",0,"","","","","","",NA,"","","1","1","7","1","4","1","","","","","","",FALSE
0,"2021-05-11 17:13:18","",NA,"","","","","","",NA,"","","4","3","5","3","4","3","","","","","","",FALSE
NA,"2021-05-11 17:13:08","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
5,"2021-05-11 17:12:36","",NA,"","","","","","",NA,"","","7","6","","7","7","3","","","","","","",FALSE
0,"2021-05-11 17:11:41","continuous",0,"","","","A","","",NA,"","","1","1","4","1","4","1","","","","","","",FALSE
2,"2021-05-11 17:07:56","",NA,"","","","","","",NA,"","","1","","","1","","","","","","","","",FALSE
0,"2021-05-11 17:04:57","",NA,"","","","","","",NA,"","","","","","5","","","","","","","","",FALSE
6,"2021-05-11 17:03:22","days",0,"","","","B","","",NA,"","","1","3","2","4","1","2","","","","","","",FALSE
0,"2021-05-11 16:57:16","days",1,"","","","","","",NA,"","","1","2","1","1","6","2","","","","","","",FALSE
3,"2021-05-11 16:55:38","",NA,"","","","","","",NA,"","","1","1","","","1","","","","","","","",FALSE
6,"2021-05-11 16:55:21","days",1,"Yes","Yes","","A","","",NA,"","","1","2","2","1","7","","","","","","","",FALSE
NA,"2021-05-11 16:54:47","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
0,"2021-05-11 16:54:40","continuous",0,"","","","A","","",NA,"","","1","1","1","1","1","1","","","","","","",FALSE
