"seen_total","last.seen","survey_type","engagement","engagement_1","engagement_2","engagement_3","quiz_answer","demo_gender","demo_age","demo_asked","demo_school","demo_media","question_2_pre","question_6_pre","question_4_pre","question_1_pre","question_3_pre","question_5_pre","question_2_post","question_3_post","question_6_post","question_5_post","question_1_post","question_4_post","finished_post"
0,"2021-05-10 14:33:58","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
0,"2021-05-10 14:31:45","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
1,"2021-05-10 14:29:07","",NA,"","","","","","",NA,"","","7","","","","","","","","","","","",FALSE
5,"2021-05-10 14:26:54","",NA,"","","","","","",NA,"","","6","6","6","6","6","","","","","","","",FALSE
3,"2021-05-10 14:25:30","",NA,"","","","","","",NA,"","","","","","1","4","1","","","","","","",FALSE
6,"2021-05-10 14:24:51","continuous",1,"Yes","","","","","",NA,"","","1","1","1","1","3","1","","","","","","",FALSE
6,"2021-05-10 14:24:33","continuous",0,"","","","","","",NA,"","","1","4","2","3","1","1","","","","","","",FALSE
NA,"2021-05-10 14:23:20","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
3,"2021-05-10 14:21:29","continuous",1,"Yes","No","Yes","C","","",NA,"","","6","7","7","1","4","1","7","","7","6","","",FALSE
5,"2021-05-10 14:19:25","",NA,"","","","","","",NA,"","","3","5","3","6","2","","","","","","","",FALSE
1,"2021-05-10 14:19:07","",NA,"","","","","","",NA,"","","","","","","1","","","","","","","",FALSE
2,"2021-05-10 14:19:05","",NA,"","","","","","",NA,"","","","2","","","5","","","","","","","",FALSE
5,"2021-05-10 14:18:41","",NA,"","","","","","",NA,"","","1","","4","3","5","1","","","","","","",FALSE
6,"2021-05-10 14:18:10","days",1,"","","","","","",NA,"","","7","7","7","7","7","7","","","","","","",FALSE
3,"2021-05-10 14:16:59","",NA,"","","","","","",NA,"","","","","5","","5","2","","","","","","",FALSE
NA,"2021-05-10 14:16:26","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
NA,"2021-05-10 14:16:22","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
4,"2021-05-10 14:14:03","",NA,"","","","","","",NA,"","","4","5","5","","4","","","","","","","",FALSE
6,"2021-05-10 14:11:22","continuous",0,"","","","","","",NA,"","","7","7","1","1","7","1","","","","","","",FALSE
1,"2021-05-10 14:11:09","",NA,"","","","","","",NA,"","","","","","","","5","","","","","","",FALSE
5,"2021-05-10 14:08:54","continuous",1,"Yes","Yes","No","A","","",NA,"","","1","1","1","1","1","1","1","","1","1","1","1",FALSE
0,"2021-05-10 14:08:21","",NA,"","","","","","",NA,"","","5","5","2","5","3","6","","","","","","",FALSE
6,"2021-05-10 14:08:12","days",0,"","","","","","",NA,"","","1","4","1","1","4","4","","","","","","",FALSE
0,"2021-05-10 14:07:39","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
1,"2021-05-10 14:05:24","continuous",1,"Yes","Yes","Yes","A","","",NA,"","","1","1","2","1","4","1","7","","","","","",FALSE
0,"2021-05-10 14:04:47","",NA,"","","","","","",NA,"","","6","6","","7","6","1","","","","","","",FALSE
6,"2021-05-10 14:03:07","days",0,"","","","","","",NA,"","","7","7","7","7","7","7","","","","","","",FALSE
NA,"2021-05-10 14:02:05","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
5,"2021-05-10 14:01:50","",NA,"","","","","","",NA,"","","7","7","","7","7","7","","","","","","",FALSE
6,"2021-05-10 14:01:43","days",0,"","","","","","",NA,"","","2","4","3","4","3","2","","","","","","",FALSE
6,"2021-05-10 14:00:42","days",0,"","","","A","Male","Over 65",1,"C","B","1","4","3","5","3","5","1","1","4","4","3","3",TRUE
4,"2021-05-10 14:00:06","",NA,"","","","","","",NA,"","","","3","","5","3","1","","","","","","",FALSE
0,"2021-05-10 13:57:10","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
6,"2021-05-10 13:56:17","days",1,"","","","","","",NA,"","","1","3","","1","2","4","","","","","","",FALSE
6,"2021-05-10 13:54:48","continuous",0,"","","","","","",NA,"","","6","6","6","6","6","6","","","","","","",FALSE
6,"2021-05-10 13:54:13","days",1,"","","","","","",NA,"","","2","3","4","4","3","4","","","","","","",FALSE
6,"2021-05-10 13:54:03","days",1,"","","","","","",NA,"","","1","5","1","7","1","1","","","","","","",FALSE
3,"2021-05-10 13:53:47","",NA,"","","","","","",NA,"","","","1","1","","1","1","","","","","","",FALSE
0,"2021-05-10 13:52:59","continuous",0,"","","","B","Male","Over 65",1,"C","C","3","6","5","6","3","6","2","1","2","2","2","2",TRUE
6,"2021-05-10 13:52:14","continuous",0,"","","","","","",NA,"","","7","7","7","7","6","7","","","","","","",FALSE
6,"2021-05-10 13:51:21","continuous",0,"","","","","","",NA,"","","1","7","1","1","7","5","","","","","","",FALSE
6,"2021-05-10 13:51:14","continuous",0,"","","","","","",NA,"","","1","6","7","1","6","2","","","","","","",FALSE
0,"2021-05-10 13:49:59","",NA,"","","","","","",NA,"","","","","7","7","7","7","","","","","","",FALSE
3,"2021-05-10 13:49:36","",NA,"","","","","","",NA,"","","4","4","2","","","","","","","","","",FALSE
4,"2021-05-10 13:48:54","",NA,"","","","","","",NA,"","","1","2","3","1","2","1","","","","","","",FALSE
0,"2021-05-10 13:48:51","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
6,"2021-05-10 13:48:48","days",0,"","","","","","",NA,"","","7","7","7","4","7","7","","","","","","",FALSE
2,"2021-05-10 13:48:43","",NA,"","","","","","",NA,"","","","","1","1","","","","","","","","",FALSE
6,"2021-05-10 13:47:30","days",1,"","","","","","",NA,"","","7","7","1","7","1","7","","","","","","",FALSE
5,"2021-05-10 13:46:34","days",0,"","","","","","",NA,"","","5","3","3","6","1","7","1","1","1","5","6","",FALSE
5,"2021-05-10 13:45:06","",NA,"","","","","","",NA,"","","4","7","","7","1","5","","","","","","",FALSE
5,"2021-05-10 13:43:04","",NA,"","","","","","",NA,"","","1","","7","2","2","6","","","","","","",FALSE
1,"2021-05-10 13:40:23","",NA,"","","","","","",NA,"","","","7","","","","https://scontent.xx.fbcdn.net/v/t39.1997-6/cp0/39178562_1505197616293642_5411344281094848512_n.png?_nc_cat=1&ccb=1-3&_nc_sid=ac3552&_nc_ohc=vrct4UXrHO0AX-3Ngd4&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&tp=30&oh=d7d66a81f0ccb41ca91c156ad124fb7d&oe=60BE8049","","","","","","",FALSE
2,"2021-05-10 13:37:11","",NA,"","","","","","",NA,"","","7","7","7","6","7","7","","","","","","",FALSE
1,"2021-05-10 13:35:43","",NA,"","","","","","",NA,"","","","","","","","2","","","","","","",FALSE
5,"2021-05-10 13:35:18","",NA,"","","","","","",NA,"","","","3","4","1","7","5","","","","","","",FALSE
NA,"2021-05-10 13:35:00","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
6,"2021-05-10 13:34:57","days",0,"","","","","","",NA,"","","1","3","7","1","7","1","","","","","","",FALSE
6,"2021-05-10 13:34:52","days",1,"","","","","","",NA,"","","5","3","4","5","7","6","","","","","","",FALSE
1,"2021-05-10 13:34:19","",NA,"","","","","","",NA,"","","","1","","","","","","","","","","",FALSE
0,"2021-05-10 13:34:04","continuous",0,"","","","","","",NA,"","","5","5","5","7","5","5","","","","","","",FALSE
0,"2021-05-10 13:33:16","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
3,"2021-05-10 13:31:09","",NA,"","","","","","",NA,"","","","","4","7","","4","","","","","","",FALSE
3,"2021-05-10 13:30:43","",NA,"","","","","","",NA,"","","4","5","5","","","","","","","","","",FALSE
5,"2021-05-10 13:29:59","",NA,"","","","","","",NA,"","","","5","6","7","5","4","","","","","","",FALSE
4,"2021-05-10 13:28:49","",NA,"","","","","","",NA,"","","4","1","","1","1","","","","","","","",FALSE
5,"2021-05-10 13:28:37","",NA,"","","","","","",NA,"","","1","1","","5","1","1","","","","","","",FALSE
1,"2021-05-10 13:26:56","",NA,"","","","","","",NA,"","","","","","","","1","","","","","","",FALSE
5,"2021-05-10 13:26:15","",NA,"","","","","","",NA,"","","","5","3","1","7","4","","","","","","",FALSE
0,"2021-05-10 13:25:53","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
6,"2021-05-10 13:25:52","days",0,"","","","","","",NA,"","","1","4","1","1","1","1","","","","","","",FALSE
0,"2021-05-10 13:25:21","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
6,"2021-05-10 13:24:47","days",1,"","","","","","",NA,"","","3","7","6","7","2","5","","","","","","",FALSE
1,"2021-05-10 13:23:23","",NA,"","","","","","",NA,"","","","","","","6","","","","","","","",FALSE
0,"2021-05-10 13:22:12","",NA,"","","","","","",NA,"","","7","7","7","7","7","","","","","","","",FALSE
6,"2021-05-10 13:18:14","continuous",1,"Yes","","","","","",NA,"","","1","4","5","4","7","4","","","","","","",FALSE
6,"2021-05-10 13:15:45","continuous",1,"Yes","Yes","","","","",NA,"","","7","3","7","7","7","3","","","","","","",FALSE
1,"2021-05-10 13:15:45","",NA,"","","","","","",NA,"","","","5","","","","","","","","","","",FALSE
1,"2021-05-10 13:12:46","",NA,"","","","","","",NA,"","","","","","","7","","","","","","","",FALSE
2,"2021-05-10 13:11:54","",NA,"","","","","","",NA,"","","6","","","","4","","","","","","","",FALSE
0,"2021-05-10 13:10:49","continuous",1,"Yes","Yes","Yes","A","Male","30-44",1,"D","B","1","1","4","1","4","4","1","1","1","1","1","1",TRUE
NA,"2021-05-10 13:06:31","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
1,"2021-05-10 13:06:07","",NA,"","","","","","",NA,"","","","","7","","","","","","","","","",FALSE
0,"2021-05-10 13:05:48","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
4,"2021-05-10 13:04:55","days",0,"","","","D","","",NA,"","","7","7","7","7","7","7","","1","4","3","6","",FALSE
6,"2021-05-10 13:04:27","continuous",1,"Yes","Yes","Yes","A","Female","45-65",1,"B","C","1","1","1","2","1","1","1","1","1","1","1","1",TRUE
0,"2021-05-10 13:04:24","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
NA,"2021-05-10 13:04:00","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
1,"2021-05-10 13:01:57","",NA,"","","","","","",NA,"","","","","5","","","","","","","","","",FALSE
4,"2021-05-10 13:00:28","",NA,"","","","","","",NA,"","","","4","1","7","1","","","","","","","",FALSE
6,"2021-05-10 13:00:23","continuous",1,"Yes","Yes","No","D","Female","Over 65",1,"B","A","1","6","6","1","7","6","1","6","1","6","1","6",TRUE
NA,"2021-05-10 12:58:56","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
6,"2021-05-10 12:54:44","continuous",1,"Yes","No","Yes","B","Male","45-65",1,"B","E","5","5","5","5","5","5","6","5","5","5","5","5",TRUE
6,"2021-05-10 12:54:16","days",0,"","","","","","",NA,"","","7","7","7","1","7","7","","","","","","",FALSE
1,"2021-05-10 12:53:58","",NA,"","","","","","",NA,"","","","6","","","","","","","","","","",FALSE
NA,"2021-05-10 12:50:56","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
5,"2021-05-10 12:50:54","",NA,"","","","","","",NA,"","","https://cdn.fbsbx.com/v/t59.3654-21/181504957_973417236766281_1795167567825456813_n.mp4/audioclip-1620651053000-3529.mp4?_nc_cat=106&ccb=1-3&_nc_sid=7272a8&_nc_ohc=kOOHqfPqXwgAX_F2wmI&_nc_ht=cdn.fbsbx.com&oh=4287dbcfcc00ea7ab4a727a3d9c1f1c6&oe=609B225D","4","","7","1","3","","","","","","",FALSE
6,"2021-05-10 12:49:58","continuous",1,"Yes","Yes","Yes","D","Male","18-29",1,"D","A","1","","2","2","1","1","1","1","1","1","1","1",TRUE
5,"2021-05-10 12:47:48","days",0,"","","","C","","",NA,"","","2","1","3","1","4","2","2","5","","4","","4",FALSE
3,"2021-05-10 12:38:58","",NA,"","","","","","",NA,"","","","6","","6","","2","","","","","","",FALSE
6,"2021-05-10 12:38:01","continuous",0,"","","","","","",NA,"","","1","1","3","4","1","3","","","","","","",FALSE
6,"2021-05-10 12:36:31","days",1,"","","","","","",NA,"","","3","4","1","1","6","3","","","","","","",FALSE
6,"2021-05-10 12:35:35","days",0,"","","","","","",NA,"","","6","7","2","7","1","4","","","","","","",FALSE
4,"2021-05-10 12:30:08","",NA,"","","","","","",NA,"","","7","","6","6","","7","","","","","","",FALSE
2,"2021-05-10 12:27:45","",NA,"","","","","","",NA,"","","","","1","1","","","","","","","","",FALSE
5,"2021-05-10 12:26:48","",NA,"","","","","","",NA,"","","4","4","5","","6","4","","","","","","",FALSE
5,"2021-05-10 12:24:29","",NA,"","","","","","",NA,"","","1","1","1","1","","1","","","","","","",FALSE
0,"2021-05-10 12:24:20","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
5,"2021-05-10 12:20:30","",NA,"","","","","","",NA,"","","1","3","","1","4","3","","","","","","",FALSE
5,"2021-05-10 12:19:52","",NA,"","","","","","",NA,"","","1","1","1","6","1","","","","","","","",FALSE
6,"2021-05-10 12:17:53","days",1,"I am not interested in this.","Leave me alone","","","","",NA,"","","1","1","2","2","1","2","","","","","","",FALSE
NA,"2021-05-10 12:17:13","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
6,"2021-05-10 12:11:05","days",1,"","","","","","",NA,"","","1","6","6","5","7","7","","","","","","",FALSE
NA,"2021-05-10 12:08:39","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
5,"2021-05-10 12:08:22","",NA,"","","","","","",NA,"","","6","3","","5","1","7","","","","","","",FALSE
3,"2021-05-10 12:07:56","",NA,"","","","","","",NA,"","","7","","","7","4","","","","","","","",FALSE
5,"2021-05-10 12:04:58","",NA,"","","","","","",NA,"","","1","1","1","5","1","","","","","","","",FALSE
0,"2021-05-10 12:04:39","continuous",0,"","","","","","",NA,"","","5","4","5","2","5","2","","","","","","",FALSE
1,"2021-05-10 12:03:24","",NA,"","","","","","",NA,"","","","5","","","","","","","","","","",FALSE
0,"2021-05-10 12:02:57","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
6,"2021-05-10 11:58:12","days",1,"","","","","","",NA,"","","7","7","7","7","6","7","","","","","","",FALSE
NA,"2021-05-10 11:54:53","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
NA,"2021-05-10 11:49:46","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
6,"2021-05-10 11:38:41","continuous",1,"Yes","No","No","A","Male","45-65",1,"B","D","4","5","1","6","1","5","4","1","6","1","6","1",TRUE
5,"2021-05-10 11:38:05","",NA,"","","","","","",NA,"","","1","5","4","4","","5","","","","","","",FALSE
2,"2021-05-10 11:36:46","",NA,"","","","","","",NA,"","","1","","","","","1","","","","","","",FALSE
0,"2021-05-10 11:34:11","days",0,"","","","","","",NA,"","","5","3","5","5","4","6","","","","","","",FALSE
3,"2021-05-10 11:33:59","",NA,"","","","","","",NA,"","","1","1","","","","1","","","","","","",FALSE
4,"2021-05-10 11:33:35","",NA,"","","","","","",NA,"","","4","6","","5","","5","","","","","","",FALSE
6,"2021-05-10 11:33:15","continuous",0,"","","","","","",NA,"","","1","1","1","4","1","2","","","","","","",FALSE
1,"2021-05-10 11:33:12","",NA,"","","","","","",NA,"","","","","","1","","","","","","","","",FALSE
6,"2021-05-10 11:31:27","continuous",0,"","","","","","",NA,"","","7","7","7","7","7","7","","","","","","",FALSE
0,"2021-05-10 11:31:00","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
2,"2021-05-10 11:30:38","",NA,"","","","","","",NA,"","","","7","","","1","","","","","","","",FALSE
3,"2021-05-10 11:27:50","continuous",0,"","","","D","","",NA,"","","6","7","7","7","7","7","7","","7","","7","",FALSE
6,"2021-05-10 11:25:57","continuous",0,"","","","A","Male","45-65",1,"B","C","6","7","6","7","7","6","6","1","6","2","4","6",TRUE
4,"2021-05-10 11:25:15","",NA,"","","","","","",NA,"","","","4","4","","7","4","","","","","","",FALSE
4,"2021-05-10 11:21:41","",NA,"","","","","","",NA,"","","","1","1","","1","1","","","","","","",FALSE
1,"2021-05-10 11:19:02","",NA,"","","","","","",NA,"","","","","7","","","","","","","","","",FALSE
1,"2021-05-10 11:19:00","",NA,"","","","","","",NA,"","","1","4","2","1","7","2","","","","","","",FALSE
6,"2021-05-10 11:16:57","days",0,"","","","","","",NA,"","","6","6","6","6","6","6","","","","","","",FALSE
NA,"2021-05-10 11:15:46","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
6,"2021-05-10 11:12:57","continuous",0,"","","","","","",NA,"","","1","3","4","1","5","2","","","","","","",FALSE
NA,"2021-05-10 11:10:42","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
6,"2021-05-10 11:09:53","continuous",0,"","","","","","",NA,"","","1","1","1","1","1","1","","","","","","",FALSE
6,"2021-05-10 11:09:15","continuous",0,"","","","","","",NA,"","","2","2","2","2","7","4","","","","","","",FALSE
2,"2021-05-10 11:06:44","",NA,"","","","","","",NA,"","","","","1","","","3","","","","","","",FALSE
3,"2021-05-10 11:06:43","",NA,"","","","","","",NA,"","","","1","","5","5","","","","","","","",FALSE
NA,"2021-05-10 11:05:40","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
NA,"2021-05-10 11:05:11","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
0,"2021-05-10 11:02:22","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
6,"2021-05-10 10:56:53","continuous",1,"Yes","Yes","","","","",NA,"","","7","1","7","7","1","7","","","","","","",FALSE
6,"2021-05-10 10:52:23","continuous",0,"","","","","","",NA,"","","7","6","7","5","3","4","","","","","","",FALSE
3,"2021-05-10 10:46:40","continuous",1,"Yes","Yes","Yes","A","","",NA,"","","1","4","3","1","6","6","1","","2","5","","",FALSE
6,"2021-05-10 10:46:18","days",0,"","","","","","",NA,"","","1","4","1","1","1","2","","","","","","",FALSE
NA,"2021-05-10 10:44:48","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
5,"2021-05-10 10:43:53","",NA,"","","","","","",NA,"","","1","","1","1","1","1","","","","","","",FALSE
4,"2021-05-10 10:42:16","",NA,"","","","","","",NA,"","","1","","5","","1","1","","","","","","",FALSE
6,"2021-05-10 10:32:24","continuous",0,"","","","","","",NA,"","","4","5","4","6","2","4","","","","","","",FALSE
NA,"2021-05-10 10:24:56","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
6,"2021-05-10 10:23:16","continuous",1,"Yes","No","Yes","A","Male","45-65",1,"C","A","1","4","7","1","7","7","1","1","7","4","1","1",TRUE
5,"2021-05-10 10:13:24","days",1,"ok","No","Yes","D","","",NA,"","","1","5","5","2","5","5","2","","5","1","1","4",FALSE
2,"2021-05-10 10:12:11","",NA,"","","","","","",NA,"","","3","","3","","","","","","","","","",FALSE
4,"2021-05-10 10:11:15","",NA,"","","","","","",NA,"","","6","4","4","","","4","","","","","","",FALSE
2,"2021-05-10 10:04:09","",NA,"","","","","","",NA,"","","","1","5","1","7","7","","","","","","",FALSE
NA,"2021-05-10 09:51:02","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
6,"2021-05-10 09:48:06","days",0,"","","","","","",NA,"","","3","4","4","7","1","1","","","","","","",FALSE
6,"2021-05-10 09:42:25","days",1,"","","","","","",NA,"","","1","1","1","1","1","1","","","","","","",FALSE
6,"2021-05-10 09:40:50","days",0,"","","","","","",NA,"","","6","5","7","7","4","7","","","","","","",FALSE
1,"2021-05-10 09:39:28","",NA,"","","","","","",NA,"","","","","6","","","","","","","","","",FALSE
NA,"2021-05-10 09:37:30","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
6,"2021-05-10 09:34:07","days",1,"","","","","","",NA,"","","7","7","7","7","7","7","","","","","","",FALSE
4,"2021-05-10 09:26:28","",NA,"","","","","","",NA,"","","1","","2","2","1","","","","","","","",FALSE
0,"2021-05-10 09:22:29","days",0,"","","","","","",NA,"","","7","7","6","5","5","3","","","STOP","","","",FALSE
0,"2021-05-10 09:07:55","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
6,"2021-05-10 09:07:10","days",0,"","","","","","",NA,"","","4","5","4","5","3","3","","","","","","",FALSE
5,"2021-05-10 09:01:58","",NA,"","","","","","",NA,"","","5","6","","2","5","6","","","","","","",FALSE
0,"2021-05-10 08:57:40","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
2,"2021-05-10 08:48:11","",NA,"","","","","","",NA,"","","","1","","","","1","","","","","","",FALSE
6,"2021-05-10 08:39:44","continuous",1,"Yes","","","","","",NA,"","","6","6","6","6","6","6","","","","","","",FALSE
NA,"2021-05-10 08:38:18","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
6,"2021-05-10 08:37:31","days",1,"","","","","","",NA,"","","1","5","4","1","7","1","","","","","","",FALSE
3,"2021-05-10 08:32:25","",NA,"","","","","","",NA,"","","","","3","4","","1","","","","","","",FALSE
2,"2021-05-10 08:29:33","",NA,"","","","","","",NA,"","","","","","1","","1","","","","","","",FALSE
0,"2021-05-10 08:16:42","continuous",1,"Yes","Yes","Yes","C","","",NA,"","","1","","5","3","4","5","","","","","","",FALSE
0,"2021-05-10 08:01:44","continuous",1,"Yes","Yes","Yes","B","","",NA,"","","1","3","4","1","1","1","","","","","","obviously common sense is not so common .",FALSE
6,"2021-05-10 08:00:11","continuous",0,"","","","","","",NA,"","","7","7","7","7","1","7","","","","","","",FALSE
6,"2021-05-10 07:58:34","days",1,"","","","","","",NA,"","","1","3","7","2","1","3","","","","","","",FALSE
5,"2021-05-10 07:55:16","",NA,"","","","","","",NA,"","","5","4","5","6","5","","","","","","","",FALSE
0,"2021-05-10 07:55:00","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
NA,"2021-05-10 07:53:08","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
1,"2021-05-10 07:44:57","continuous",1,"Yes","Yes","Yes","A","","",NA,"","","1","1","1","1","6","1","","6","","","","",FALSE
6,"2021-05-10 07:42:15","days",1,"","","","","","",NA,"","","3","5","3","5","3","3","","","","","","",FALSE
5,"2021-05-10 07:35:08","",NA,"","","","","","",NA,"","","","1","1","7","1","1","","","","","","",FALSE
0,"2021-05-10 07:22:40","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
5,"2021-05-10 07:17:35","",NA,"","","","","","",NA,"","","1","1","1","1","","1","","","","","","",FALSE
6,"2021-05-10 07:05:14","continuous",1,"Yes","Yes","","","","",NA,"","","2","2","2","3","3","3","","","","","","",FALSE
0,"2021-05-10 07:01:23","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
6,"2021-05-10 06:59:10","days",1,"","","","","","",NA,"","","5","5","5","7","5","6","","","","","","",FALSE
0,"2021-05-10 06:51:39","",NA,"","","","","","",NA,"","","1","","","","1","1","","","","","","",FALSE
4,"2021-05-10 06:47:22","",NA,"","","","","","",NA,"","","7","7","7","","7","","","","","","","",FALSE
6,"2021-05-10 06:43:47","days",1,"","","","","","",NA,"","","1","7","7","7","1","4","","","","","","",FALSE
5,"2021-05-10 06:42:25","",NA,"","","","","","",NA,"","","1","1","1","","1","4","","","","","","",FALSE
2,"2021-05-10 06:36:19","",NA,"","","","","","",NA,"","","","","1","4","","","","","","","","",FALSE
1,"2021-05-10 06:33:51","",NA,"","","","","","",NA,"","","","","","1","","","","","","","","",FALSE
2,"2021-05-10 06:30:13","",NA,"","","","","","",NA,"","","","","","6","6","","","","","","","",FALSE
4,"2021-05-10 06:29:13","continuous",1,"Yes","Yes","Yes","A","","",NA,"","","1","5","2","5","3","4","1","","2","2","","1",FALSE
4,"2021-05-10 06:28:14","",NA,"","","","","","",NA,"","","","2","2","7","3","2","","","","","","",FALSE
6,"2021-05-10 06:27:23","days",1,"","","","","","",NA,"","","7","7","7","1","7","1","","","","","","",FALSE
1,"2021-05-10 06:23:58","",NA,"","","","","","",NA,"","","","3","","","","","","","","","","",FALSE
NA,"2021-05-10 06:20:09","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
4,"2021-05-10 06:19:48","",NA,"","","","","","",NA,"","","","2","2","6","3","","","","","","","",FALSE
6,"2021-05-10 06:13:32","days",1,"Yes","Yes","Yes","A","Female","45-65",1,"D","B","1","4","4","1","5","1","1","4","4","2","1","1",TRUE
5,"2021-05-10 06:11:17","",NA,"","","","","","",NA,"","","","7","7","7","7","7","","","","","","",FALSE
5,"2021-05-10 06:11:08","",NA,"","","","","","",NA,"","","7","4","","1","7","5","","","","","","",FALSE
1,"2021-05-10 06:08:49","",NA,"","","","","","",NA,"","","","","7","","","","","","","","","",FALSE
1,"2021-05-10 05:58:15","",NA,"","","","","","",NA,"","","","5","","","","","","","","","","",FALSE
0,"2021-05-10 05:57:08","",NA,"","","","","","",NA,"","","","6","6","6","","","","","","","","",FALSE
5,"2021-05-10 05:53:54","",NA,"","","","","","",NA,"","","1","1","1","1","","1","","","","","","",FALSE
6,"2021-05-10 05:52:30","continuous",1,"Yes","No","Yes","B","Female","Over 65",1,"D","B","1","1","4","1","7","5","1","7","5","1","1","1",TRUE
1,"2021-05-10 05:47:15","",NA,"","","","","","",NA,"","","1","1","1","1","1","1","","","","","","",FALSE
6,"2021-05-10 05:43:36","days",0,"","","","","","",NA,"","","4","4","4","4","3","3","","","","","","",FALSE
2,"2021-05-10 05:41:52","",NA,"","","","","","",NA,"","","5","5","4","3","6","5","","","","","","",FALSE
6,"2021-05-10 05:39:36","continuous",1,"Yes","No","","","","",NA,"","","1","3","3","1","3","3","","","","","","",FALSE
NA,"2021-05-10 05:37:19","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
4,"2021-05-10 05:37:05","",NA,"","","","","","",NA,"","","","1","","1","1","1","","","","","","",FALSE
NA,"2021-05-10 05:36:42","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
6,"2021-05-10 05:33:48","days",1,"https://scontent.xx.fbcdn.net/v/t39.1997-6/cp0/39178562_1505197616293642_5411344281094848512_n.png?_nc_cat=1&ccb=1-3&_nc_sid=ac3552&_nc_ohc=vrct4UXrHO0AX-pprfd&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&tp=30&oh=9b4b283e5988be311311795f79813ad9&oe=60BE8049","Yes","Yes","A","Male","Over 65",1,"D","B","1","4","3","1","1","5","1","1","3","2","1","1",TRUE
6,"2021-05-10 05:31:10","days",0,"","","","","","",NA,"","","6","4","6","6","4","6","","","","","","",FALSE
5,"2021-05-10 05:28:38","",NA,"","","","","","",NA,"","","1","4","","1","7","1","","","","","","",FALSE
5,"2021-05-10 05:26:40","",NA,"","","","","","",NA,"","","5","","1","4","4","3","","","","","","",FALSE
0,"2021-05-10 05:22:23","days",1,"Yes","No","No","B","","",NA,"","","5","1","2","4","5","1","","","","","","",FALSE
6,"2021-05-10 05:20:54","continuous",1,"Yes","Yes","No","A","Male","Over 65",1,"D","C","1","1","5","3","5","2","1","4","2","1","2","3",TRUE
NA,"2021-05-10 05:19:39","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
5,"2021-05-10 05:08:13","",NA,"","","","","","",NA,"","","3","1","5","2","","3","","","","","","",FALSE
6,"2021-05-10 05:04:51","continuous",0,"","","","","","",NA,"","","2","4","1","4","1","1","","","","","","",FALSE
