seen_total,last seen,survey_type,engagement,engagement_1,engagement_2,engagement_3,quiz_answer,demo_gender,demo_age,demo_asked,demo_school,demo_media,question_2_pre,question_6_pre,question_4_pre,question_1_pre,question_3_pre,question_5_pre,question_2_post,question_3_post,question_6_post,question_5_post,question_1_post,question_4_post
"",2021-05-10 18:21:18,,,,,,,,,,,,,,,,,,,,,,,
4,2021-05-10 18:20:43,,,,,,,,,,,,4,,4,4,3,,,,,,,
"",2021-05-10 18:19:29,,,,,,,,,,,,,,,,,,,,,,,
5,2021-05-10 18:18:41,continuous,1,Yes,Yes,Yes,B,,,,,,5,1,5,5,5,3,,1,1,2,1,4
0,2021-05-10 18:18:18,,,,,,,,,,,,,,,,,,,,,,,
6,2021-05-10 18:15:14,continuous,1,Yes,Yes,,this business you're trying to push on climate is as bad as your examples. I am a climate scientist and your examples and suggestions are shit,,,,,,4,3,2,4,1,5,,,,,,
"",2021-05-10 18:13:37,,,,,,,,,,,,,,,,,,,,,,,
5,2021-05-10 18:13:05,,,,,,,,,,,,,3,2,2,2,3,,,,,,
0,2021-05-10 18:10:37,days,0,,,,,,,,,,3,6,4,6,2,3,,,,,,
4,2021-05-10 18:08:47,,,,,,,,,,,,5,,,3,3,5,,,,,,
6,2021-05-10 18:06:50,continuous,1,Yes,Yes,Yes,B,Male,Over 65,1,D,D,5,6,6,7,6,2,1,2,1,1,1,1
6,2021-05-10 18:04:27,continuous,0,,,,,,,,,,7,7,7,7,7,7,,,,,,
"",2021-05-10 18:00:16,,,,,,,,,,,,,,,,,,,,,,,
5,2021-05-10 17:59:46,,,,,,,,,,,,1,1,,1,1,1,,,,,,
6,2021-05-10 17:59:14,continuous,0,,,,,,,,,,3,3,4,4,3,3,,,,,,
4,2021-05-10 17:57:43,,,,,,,,,,,,1,,4,1,,1,,,,,,
"",2021-05-10 17:55:41,,,,,,,,,,,,,,,,,,,,,,,
"",2021-05-10 17:53:57,,,,,,,,,,,,,,,,,,,,,,,
3,2021-05-10 17:53:07,,,,,,,,,,,,,6,,,4,4,,,,,,
5,2021-05-10 17:53:05,,,,,,,,,,,,1,5,3,1,,4,,,,,,
5,2021-05-10 17:52:50,,,,,,,,,,,,5,5,5,5,5,,,,,,,
1,2021-05-10 17:52:32,continuous,1,Yes,Yes,Yes,B,,,,,,2,6,5,6,1,2,,1,,,,
0,2021-05-10 17:50:51,days,1,,,,,,,,,,1,5,1,5,1,3,,,,,,
0,2021-05-10 17:50:01,days,0,,,,,,,,,,5,1,4,1,5,1,,,,,,
1,2021-05-10 17:48:54,,,,,,,,,,,,,7,,,,,,,,,,
"",2021-05-10 17:48:34,,,,,,,,,,,,,,,,,,,,,,,
0,2021-05-10 17:48:30,,,,,,,,,,,,,,,,Nope not till I read for myself!!!,,,,,,,
1,2021-05-10 17:47:36,continuous,1,Yes,Yes,No,A,,,,,,3,3,3,5,5,3,,5,,,,
"",2021-05-10 17:44:41,,,,,,,,,,,,,,,,,,,,,,,
1,2021-05-10 17:44:23,,,,,,,,,,,,,,1,,,,,,,,,
5,2021-05-10 17:43:55,days,0,,,,B,,,,,,1,2,1,1,6,1,1,7,4,1,1,
5,2021-05-10 17:41:06,,,,,,,,,,,,1,1,1,,2,1,,,,,,
5,2021-05-10 17:40:49,,,,,,,,,,,,2,4,3,,1,1,,,,,,
5,2021-05-10 17:39:05,,,,,,,,,,,,1,1,1,1,,1,,,,,,
0,2021-05-10 17:37:36,,,,,,,,,,,,,,,,,,,,,,,
1,2021-05-10 17:36:48,,,,,,,,,,,,1,,,,,,,,,,,
6,2021-05-10 17:36:40,days,0,,,,,,,,,,5,5,5,5,4,7,,,,,,
0,2021-05-10 17:34:07,,,,,,,,,,,,,,,,,,,,,,,
"",2021-05-10 17:33:22,,,,,,,,,,,,,,,,,,,,,,,
6,2021-05-10 17:31:29,days,1,,,,,,,,,,5,5,5,6,5,4,,,,,,
4,2021-05-10 17:30:16,,,,,,,,,,,,7,,7,,7,7,,,,,,
0,2021-05-10 17:29:32,continuous,0,,,,,,,,,,1,1,1,1,1,1,,,,,,
"",2021-05-10 17:29:03,,,,,,,,,,,,,,,,,,,,,,,
6,2021-05-10 17:28:55,days,0,,,,,,,,,,1,2,4,1,6,1,,,,,,
"",2021-05-10 17:27:36,,,,,,,,,,,,,,,,,,,,,,,
"",2021-05-10 17:24:56,,,,,,,,,,,,,,,,,,,,,,,
0,2021-05-10 17:21:24,,,,,,,,,,,,,,,,,,,,,,,
6,2021-05-10 17:20:06,days,1,ok,No,No,A,Male,Over 65,1,C,D,1,1,1,1,1,1,1,1,1,1,1,1
0,2021-05-10 17:19:57,,,,,,,,,,,,,,,,,,,,,,,
6,2021-05-10 17:17:33,days,0,,,,,,,,,,1,1,1,1,1,2,,,,,,
3,2021-05-10 17:16:51,,,,,,,,,,,,6,6,6,,,,,,,,,
"",2021-05-10 17:15:29,,,,,,,,,,,,,,,,,,,,,,,
6,2021-05-10 17:10:47,days,0,,,,,,,,,,4,7,1,7,1,2,,,,,,
5,2021-05-10 17:09:47,,,,,,,,,,,,1,1,1,1,5,,,,,,,
2,2021-05-10 17:08:51,,,,,,,,,,,,,7,,7,,,,,,,,
1,2021-05-10 17:07:07,,,,,,,,,,,,,6,,,,,,,,,,
2,2021-05-10 17:03:30,,,,,,,,,,,,,,1,,,1,,,,,,
4,2021-05-10 17:01:56,,,,,,,,,,,,7,7,6,,,7,,,,,,
6,2021-05-10 16:56:14,days,1,,,,,,,,,,1,1,1,1,1,1,,,,,,
5,2021-05-10 16:55:20,,,,,,,,,,,,7,7,1,7,1,,,,,,,
0,2021-05-10 16:53:45,,,,,,,,,,,,,,,,,,,,,,,
"",2021-05-10 16:53:30,,,,,,,,,,,,,,,,,,,,,,,
3,2021-05-10 16:52:39,,,,,,,,,,,,,7,6,,7,,,,,,,
0,2021-05-10 16:52:35,continuous,1,Yes,All the news is fake I don’t listen to any news,No,A,,,,,,1,1,1,1,1,1,,1,1,1,1,1
0,2021-05-10 16:51:53,continuous,0,,,,,,,,,,7,5,7,7,7,7,,,,,,
6,2021-05-10 16:51:44,days,1,,,,,,,,,,7,7,7,7,7,7,,,,,,
6,2021-05-10 16:50:45,days,0,,,,,,,,,,4,4,6,1,5,4,,,,,,
"",2021-05-10 16:48:14,,,,,,,,,,,,,,,,,,,,,,,
3,2021-05-10 16:43:36,continuous,1,Yes,Yes,Yes,C,,,,,,7,7,7,7,5,7,,7,,,7,7
2,2021-05-10 16:40:18,,,,,,,,,,,,,,,5,,3,,,,,,
"",2021-05-10 16:40:14,,,,,,,,,,,,,,,,,,,,,,,
6,2021-05-10 16:38:39,days,0,,,,,,,,,,1,1,1,1,3,1,,,,,,
"",2021-05-10 16:38:38,,,,,,,,,,,,,,,,,,,,,,,
2,2021-05-10 16:37:56,,,,,,,,,,,,4,1,1,4,1,6,,,,,,
5,2021-05-10 16:37:47,,,,,,,,,,,,5,6,5,2,,6,,,,,,
6,2021-05-10 16:35:30,continuous,0,,,,,,,,,,1,1,1,1,1,1,,,,,,
0,2021-05-10 16:34:43,,,,,,,,,,,,,,,,,,,,,,,
6,2021-05-10 16:33:48,days,0,,,,,,,,,,1,4,1,7,1,1,,,,,,
6,2021-05-10 16:32:56,days,1,,,,,,,,,,1,5,6,7,7,3,,,,,,
0,2021-05-10 16:32:46,days,1,,,,,,,,,,1,7,7,7,1,1,,,,,,
"",2021-05-10 16:31:59,,,,,,,,,,,,,,,,,,,,,,,
6,2021-05-10 16:30:07,continuous,0,,,,,,,,,,4,5,1,5,1,1,,,,,,
1,2021-05-10 16:29:02,,,,,,,,,,,,,,,,1,,,,,,,
5,2021-05-10 16:26:21,,,,,,,,,,,,,2,2,6,2,3,,,,,,
6,2021-05-10 16:24:44,days,1,,,,,,,,,,6,5,2,6,3,4,,,,,,
"",2021-05-10 16:23:36,,,,,,,,,,,,,,,,,,,,,,,
0,2021-05-10 16:20:53,,,,,,,,,,,,,,,,,,,,,,,
6,2021-05-10 16:19:54,continuous,0,,,,,,,,,,6,4,4,5,5,4,,,,,,
0,2021-05-10 16:17:55,,,,,,,,,,,,,,,,,,,,,,,
"",2021-05-10 16:17:53,,,,,,,,,,,,,,,,,,,,,,,
"",2021-05-10 16:15:15,,,,,,,,,,,,,,,,,,,,,,,
0,2021-05-10 16:14:45,,,,,,,,,,,,,Let me put like this I have always been American and I will always be proud to be a American. And I like the way Biden and Antifa Harris and Obama and Hillary Clinton and Democratics and Radicals and left side and others are doing they are trying to destory America.They may be a left side but the ride side is stronger we have God on our side. And we have Donald Trump I will always stand with him.,,,,,,,,,,
3,2021-05-10 16:11:16,,,,,,,,,,,,,6,,7,,7,,,,,,
0,2021-05-10 16:10:00,,,,,,,,,,,,,3,1,6,1,,,,,,,
"",2021-05-10 16:09:51,,,,,,,,,,,,,,,,,,,,,,,
"",2021-05-10 16:08:52,,,,,,,,,,,,,,,,,,,,,,,
5,2021-05-10 16:08:45,,,,,,,,,,,,1,1,1,3,,3,,,,,,
"",2021-05-10 16:07:30,,,,,,,,,,,,,,,,,,,,,,,
1,2021-05-10 16:06:30,,,,,,,,,,,,,,,,,4,,,,,,
2,2021-05-10 16:05:40,,,,,,,,,,,,,,4,,,4,,,,,,
"",2021-05-10 16:03:52,,,,,,,,,,,,,,,,,,,,,,,
5,2021-05-10 15:57:15,,,,,,,,,,,,5,2,4,5,,2,,,,,,
0,2021-05-10 15:56:05,days,0,,,,Americans have to use basic common sense and logic not to get tricked. But common sense isn't common anymore. Why?,,,,,,7,1,1,1,1,7,,,,,,
0,2021-05-10 15:55:50,,,,,,,,,,,,,,,,,,,,,,,
6,2021-05-10 15:55:27,days,0,,,,,,,,,,1,1,1,3,1,2,,,,,,
"",2021-05-10 15:55:10,,,,,,,,,,,,,,,,,,,,,,,
4,2021-05-10 15:54:54,days,0,,,,,,,,,,5,5,4,5,5,7,,4,,6,4,5
0,2021-05-10 15:50:52,,,,,,,,,,,,2,,,2,,,,,,,,
6,2021-05-10 15:47:31,continuous,0,,,,https://scontent.xx.fbcdn.net/v/t39.1997-6/cp0/39178562_1505197616293642_5411344281094848512_n.png?_nc_cat=1&ccb=1-3&_nc_sid=ac3552&_nc_ohc=vrct4UXrHO0AX__Oaf-&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&tp=30&oh=f44a8155c9a0e39105641d941b833c63&oe=60BE8049,,,,,,3,7,7,7,2,7,,,,,,
"",2021-05-10 15:45:22,,,,,,,,,,,,,,,,,,,,,,,
3,2021-05-10 15:44:46,,,,,,,,,,,,4,,4,,,4,,,,,,
"",2021-05-10 15:44:30,,,,,,,,,,,,,,,,,,,,,,,
5,2021-05-10 15:44:11,,,,,,,,,,,,1,,1,5,1,4,,,,,,
"",2021-05-10 15:41:06,,,,,,,,,,,,,,,,,,,,,,,
0,2021-05-10 15:40:53,,,,,,,,,,,,,,,,,,,,,,,
5,2021-05-10 15:40:39,,,,,,,,,,,,1,6,,2,2,2,,,,,,
"",2021-05-10 15:39:34,,,,,,,,,,,,,,,,,,,,,,,
"",2021-05-10 15:35:43,,,,,,,,,,,,,,,,,,,,,,,
4,2021-05-10 15:34:46,,,,,,,,,,,,,1,,1,2,1,,,,,,
2,2021-05-10 15:34:13,,,,,,,,,,,,,,,7,7,,,,,,,
6,2021-05-10 15:32:25,days,1,,,,,,,,,,1,1,1,7,1,1,,,,,,
0,2021-05-10 15:32:04,continuous,1,Yes,Yes,Yes,A,,,,,,4,4,5,1,4,3,,,,,,
0,2021-05-10 15:31:37,days,1,,,,,,,,,,1,1,1,7,1,4,,,,,,
2,2021-05-10 15:31:28,,,,,,,,,,,,6,,,,,6,,,,,,
0,2021-05-10 15:30:39,,,,,,,,,,,,7,,7,7,7,,,,,,,
1,2021-05-10 15:30:18,,,,,,,,,,,,6,,,,,,,,,,,
1,2021-05-10 15:28:27,,,,,,,,,,,,,,,,1,,,,,,,
3,2021-05-10 15:27:47,,,,,,,,,,,,7,7,7,,,,,,,,,
5,2021-05-10 15:26:17,continuous,1,Yes,Yes,Yes,A,,,,,,1,1,2,1,1,1,1,1,,1,1,1
"",2021-05-10 15:26:03,,,,,,,,,,,,,,,,,,,,,,,
"",2021-05-10 15:22:15,,,,,,,,,,,,,,,,,,,,,,,
6,2021-05-10 15:20:52,days,0,,,,B,Male,18-29,1,D,B,2,1,2,5,,7,2,2,2,2,2,
"",2021-05-10 15:19:32,,,,,,,,,,,,,,,,,,,,,,,
0,2021-05-10 15:19:31,days,0,,,,A,,,,,,2,1,1,7,1,1,,,,,,
2,2021-05-10 15:18:54,,,,,,,,,,,,,1,,,,1,,,,,,
2,2021-05-10 15:14:12,,,,,,,,,,,,,1,,1,,,,,,,,
5,2021-05-10 15:13:22,,,,,,,,,,,,1,2,2,1,4,,,,,,,
"",2021-05-10 15:13:13,,,,,,,,,,,,,,,,,,,,,,,
2,2021-05-10 15:12:45,,,,,,,,,,,,5,,5,,,,,,,,,
0,2021-05-10 15:12:20,,,,,,,,,,,,,,,,,,,,,,,
6,2021-05-10 15:11:57,days,1,,,,,,,,,,1,1,1,1,1,1,,,,,,
"",2021-05-10 15:10:59,,,,,,,,,,,,,,,,,,,,,,,
3,2021-05-10 15:09:20,,,,,,,,,,,,1,1,,,,3,,,,,,
5,2021-05-10 15:08:43,,,,,,,,,,,,1,7,6,6,6,,,,,,,
5,2021-05-10 15:07:46,,,,,,,,,,,,,2,2,2,4,3,,,,,,
5,2021-05-10 15:03:51,,,,,,,,,,,,2,,5,7,5,5,,,,,,
6,2021-05-10 15:03:39,days,0,,,,,,,,,,6,6,6,6,1,1,,,,,,
0,2021-05-10 15:02:51,,,,,,,,,,,,,,,,,,,,,,,
1,2021-05-10 15:02:12,,,,,,,,,,,,1,2,7,7,3,1,,,,,,
6,2021-05-10 15:00:33,continuous,1,Yes,Yes,,,,,,,,2,5,5,5,3,5,,,,,,
"",2021-05-10 14:57:19,,,,,,,,,,,,,,,,,,,,,,,
6,2021-05-10 14:52:42,days,1,,,,,,,,,,1,2,3,1,2,3,,,,,,
0,2021-05-10 14:52:37,,,,,,,,,,,,,,,,,,,,,,,
6,2021-05-10 14:52:28,continuous,0,,,,,,,,,,1,3,3,1,1,1,,,,,,
"",2021-05-10 14:51:18,,,,,,,,,,,,,,,,,,,,,,,
6,2021-05-10 14:48:39,continuous,0,,,,,,,,,,1,2,2,1,5,1,,,,,,
2,2021-05-10 14:47:40,,,,,,,,,,,,4,,4,,,,,,,,,
5,2021-05-10 14:45:37,,,,,,,,,,,,1,3,1,1,6,,,,,,,
5,2021-05-10 14:43:52,continuous,0,,,,B,,,,,,2,2,2,2,2,1,2,2,2,2,2,
6,2021-05-10 14:42:35,continuous,0,,,,,,,,,,3,3,3,3,3,3,,,,,,
0,2021-05-10 14:42:07,days,0,,,,,,,,,,4,4,4,4,3,2,,,,,,
1,2021-05-10 14:39:31,,,,,,,,,,,,6,7,7,6,7,7,,,,,,
0,2021-05-10 14:38:32,,,,,,,,,,,,,,,,,,,,,,,
5,2021-05-10 14:38:26,,,,,,,,,,,,1,7,,2,1,2,,,,,,
5,2021-05-10 14:36:24,,,,,,,,,,,,,5,4,5,5,4,,,,,,
5,2021-05-10 14:36:19,,,,,,,,,,,,1,,1,7,1,1,,,,,,
0,2021-05-10 14:33:58,,,,,,,,,,,,,,,,,,,,,,,
0,2021-05-10 14:31:45,,,,,,,,,,,,,,,,,,,,,,,
1,2021-05-10 14:29:07,,,,,,,,,,,,7,,,,,,,,,,,
5,2021-05-10 14:26:54,,,,,,,,,,,,6,6,6,6,6,,,,,,,
3,2021-05-10 14:25:30,,,,,,,,,,,,,,,1,4,1,,,,,,
6,2021-05-10 14:24:51,continuous,1,Yes,,,,,,,,,1,1,1,1,3,1,,,,,,
6,2021-05-10 14:24:33,continuous,0,,,,,,,,,,1,4,2,3,1,1,,,,,,
"",2021-05-10 14:23:20,,,,,,,,,,,,,,,,,,,,,,,
3,2021-05-10 14:21:29,continuous,1,Yes,No,Yes,C,,,,,,6,7,7,1,4,1,7,,7,6,,
5,2021-05-10 14:19:25,,,,,,,,,,,,3,5,3,6,2,,,,,,,
1,2021-05-10 14:19:07,,,,,,,,,,,,,,,,1,,,,,,,
2,2021-05-10 14:19:05,,,,,,,,,,,,,2,,,5,,,,,,,
5,2021-05-10 14:18:41,,,,,,,,,,,,1,,4,3,5,1,,,,,,
6,2021-05-10 14:18:10,days,1,,,,,,,,,,7,7,7,7,7,7,,,,,,
3,2021-05-10 14:16:59,,,,,,,,,,,,,,5,,5,2,,,,,,
"",2021-05-10 14:16:26,,,,,,,,,,,,,,,,,,,,,,,
"",2021-05-10 14:16:22,,,,,,,,,,,,,,,,,,,,,,,
4,2021-05-10 14:14:03,,,,,,,,,,,,4,5,5,,4,,,,,,,
6,2021-05-10 14:11:22,continuous,0,,,,,,,,,,7,7,1,1,7,1,,,,,,
1,2021-05-10 14:11:09,,,,,,,,,,,,,,,,,5,,,,,,
5,2021-05-10 14:08:54,continuous,1,Yes,Yes,No,A,,,,,,1,1,1,1,1,1,1,,1,1,1,1
0,2021-05-10 14:08:21,,,,,,,,,,,,5,5,2,5,3,6,,,,,,
6,2021-05-10 14:08:12,days,0,,,,,,,,,,1,4,1,1,4,4,,,,,,
0,2021-05-10 14:07:39,,,,,,,,,,,,,,,,,,,,,,,
1,2021-05-10 14:05:24,continuous,1,Yes,Yes,Yes,A,,,,,,1,1,2,1,4,1,7,,,,,
0,2021-05-10 14:04:47,,,,,,,,,,,,6,6,,7,6,1,,,,,,
6,2021-05-10 14:03:07,days,0,,,,,,,,,,7,7,7,7,7,7,,,,,,
"",2021-05-10 14:02:05,,,,,,,,,,,,,,,,,,,,,,,
5,2021-05-10 14:01:50,,,,,,,,,,,,7,7,,7,7,7,,,,,,
6,2021-05-10 14:01:43,days,0,,,,,,,,,,2,4,3,4,3,2,,,,,,
6,2021-05-10 14:00:42,days,0,,,,A,Male,Over 65,1,C,B,1,4,3,5,3,5,1,1,4,4,3,3
4,2021-05-10 14:00:06,,,,,,,,,,,,,3,,5,3,1,,,,,,
0,2021-05-10 13:57:10,,,,,,,,,,,,,,,,,,,,,,,
6,2021-05-10 13:56:17,days,1,,,,,,,,,,1,3,,1,2,4,,,,,,
6,2021-05-10 13:54:48,continuous,0,,,,,,,,,,6,6,6,6,6,6,,,,,,
6,2021-05-10 13:54:13,days,1,,,,,,,,,,2,3,4,4,3,4,,,,,,
6,2021-05-10 13:54:03,days,1,,,,,,,,,,1,5,1,7,1,1,,,,,,
3,2021-05-10 13:53:47,,,,,,,,,,,,,1,1,,1,1,,,,,,
0,2021-05-10 13:52:59,continuous,0,,,,B,Male,Over 65,1,C,C,3,6,5,6,3,6,2,1,2,2,2,2
6,2021-05-10 13:52:14,continuous,0,,,,,,,,,,7,7,7,7,6,7,,,,,,
6,2021-05-10 13:51:21,continuous,0,,,,,,,,,,1,7,1,1,7,5,,,,,,
6,2021-05-10 13:51:14,continuous,0,,,,,,,,,,1,6,7,1,6,2,,,,,,
0,2021-05-10 13:49:59,,,,,,,,,,,,,,7,7,7,7,,,,,,
3,2021-05-10 13:49:36,,,,,,,,,,,,4,4,2,,,,,,,,,
4,2021-05-10 13:48:54,,,,,,,,,,,,1,2,3,1,2,1,,,,,,
0,2021-05-10 13:48:51,,,,,,,,,,,,,,,,,,,,,,,
6,2021-05-10 13:48:48,days,0,,,,,,,,,,7,7,7,4,7,7,,,,,,
2,2021-05-10 13:48:43,,,,,,,,,,,,,,1,1,,,,,,,,
6,2021-05-10 13:47:30,days,1,,,,,,,,,,7,7,1,7,1,7,,,,,,
5,2021-05-10 13:46:34,days,0,,,,,,,,,,5,3,3,6,1,7,1,1,1,5,6,
5,2021-05-10 13:45:06,,,,,,,,,,,,4,7,,7,1,5,,,,,,
5,2021-05-10 13:43:04,,,,,,,,,,,,1,,7,2,2,6,,,,,,
1,2021-05-10 13:40:23,,,,,,,,,,,,,7,,,,https://scontent.xx.fbcdn.net/v/t39.1997-6/cp0/39178562_1505197616293642_5411344281094848512_n.png?_nc_cat=1&ccb=1-3&_nc_sid=ac3552&_nc_ohc=vrct4UXrHO0AX-3Ngd4&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&tp=30&oh=d7d66a81f0ccb41ca91c156ad124fb7d&oe=60BE8049,,,,,,
2,2021-05-10 13:37:11,,,,,,,,,,,,7,7,7,6,7,7,,,,,,
1,2021-05-10 13:35:43,,,,,,,,,,,,,,,,,2,,,,,,
5,2021-05-10 13:35:18,,,,,,,,,,,,,3,4,1,7,5,,,,,,
"",2021-05-10 13:35:00,,,,,,,,,,,,,,,,,,,,,,,
6,2021-05-10 13:34:57,days,0,,,,,,,,,,1,3,7,1,7,1,,,,,,
6,2021-05-10 13:34:52,days,1,,,,,,,,,,5,3,4,5,7,6,,,,,,
1,2021-05-10 13:34:19,,,,,,,,,,,,,1,,,,,,,,,,
0,2021-05-10 13:34:04,continuous,0,,,,,,,,,,5,5,5,7,5,5,,,,,,
0,2021-05-10 13:33:16,,,,,,,,,,,,,,,,,,,,,,,
3,2021-05-10 13:31:09,,,,,,,,,,,,,,4,7,,4,,,,,,
3,2021-05-10 13:30:43,,,,,,,,,,,,4,5,5,,,,,,,,,
5,2021-05-10 13:29:59,,,,,,,,,,,,,5,6,7,5,4,,,,,,
4,2021-05-10 13:28:49,,,,,,,,,,,,4,1,,1,1,,,,,,,
5,2021-05-10 13:28:37,,,,,,,,,,,,1,1,,5,1,1,,,,,,
1,2021-05-10 13:26:56,,,,,,,,,,,,,,,,,1,,,,,,
5,2021-05-10 13:26:15,,,,,,,,,,,,,5,3,1,7,4,,,,,,
0,2021-05-10 13:25:53,,,,,,,,,,,,,,,,,,,,,,,
6,2021-05-10 13:25:52,days,0,,,,,,,,,,1,4,1,1,1,1,,,,,,
0,2021-05-10 13:25:21,,,,,,,,,,,,,,,,,,,,,,,
6,2021-05-10 13:24:47,days,1,,,,,,,,,,3,7,6,7,2,5,,,,,,
1,2021-05-10 13:23:23,,,,,,,,,,,,,,,,6,,,,,,,
0,2021-05-10 13:22:12,,,,,,,,,,,,7,7,7,7,7,,,,,,,
6,2021-05-10 13:18:14,continuous,1,Yes,,,,,,,,,1,4,5,4,7,4,,,,,,
6,2021-05-10 13:15:45,continuous,1,Yes,Yes,,,,,,,,7,3,7,7,7,3,,,,,,
1,2021-05-10 13:15:45,,,,,,,,,,,,,5,,,,,,,,,,
1,2021-05-10 13:12:46,,,,,,,,,,,,,,,,7,,,,,,,
2,2021-05-10 13:11:54,,,,,,,,,,,,6,,,,4,,,,,,,
0,2021-05-10 13:10:49,continuous,1,Yes,Yes,Yes,A,Male,30-44,1,D,B,1,1,4,1,4,4,1,1,1,1,1,1
"",2021-05-10 13:06:31,,,,,,,,,,,,,,,,,,,,,,,
1,2021-05-10 13:06:07,,,,,,,,,,,,,,7,,,,,,,,,
0,2021-05-10 13:05:48,,,,,,,,,,,,,,,,,,,,,,,
4,2021-05-10 13:04:55,days,0,,,,D,,,,,,7,7,7,7,7,7,,1,4,3,6,
6,2021-05-10 13:04:27,continuous,1,Yes,Yes,Yes,A,Female,45-65,1,B,C,1,1,1,2,1,1,1,1,1,1,1,1
0,2021-05-10 13:04:24,,,,,,,,,,,,,,,,,,,,,,,
"",2021-05-10 13:04:00,,,,,,,,,,,,,,,,,,,,,,,
1,2021-05-10 13:01:57,,,,,,,,,,,,,,5,,,,,,,,,
4,2021-05-10 13:00:28,,,,,,,,,,,,,4,1,7,1,,,,,,,
6,2021-05-10 13:00:23,continuous,1,Yes,Yes,No,D,Female,Over 65,1,B,A,1,6,6,1,7,6,1,6,1,6,1,6
"",2021-05-10 12:58:56,,,,,,,,,,,,,,,,,,,,,,,
6,2021-05-10 12:54:44,continuous,1,Yes,No,Yes,B,Male,45-65,1,B,E,5,5,5,5,5,5,6,5,5,5,5,5
6,2021-05-10 12:54:16,days,0,,,,,,,,,,7,7,7,1,7,7,,,,,,
1,2021-05-10 12:53:58,,,,,,,,,,,,,6,,,,,,,,,,
"",2021-05-10 12:50:56,,,,,,,,,,,,,,,,,,,,,,,
5,2021-05-10 12:50:54,,,,,,,,,,,,https://cdn.fbsbx.com/v/t59.3654-21/181504957_973417236766281_1795167567825456813_n.mp4/audioclip-1620651053000-3529.mp4?_nc_cat=106&ccb=1-3&_nc_sid=7272a8&_nc_ohc=kOOHqfPqXwgAX_F2wmI&_nc_ht=cdn.fbsbx.com&oh=4287dbcfcc00ea7ab4a727a3d9c1f1c6&oe=609B225D,4,,7,1,3,,,,,,
6,2021-05-10 12:49:58,continuous,1,Yes,Yes,Yes,D,Male,18-29,1,D,A,1,,2,2,1,1,1,1,1,1,1,1
5,2021-05-10 12:47:48,days,0,,,,C,,,,,,2,1,3,1,4,2,2,5,,4,,4
3,2021-05-10 12:38:58,,,,,,,,,,,,,6,,6,,2,,,,,,
6,2021-05-10 12:38:01,continuous,0,,,,,,,,,,1,1,3,4,1,3,,,,,,
6,2021-05-10 12:36:31,days,1,,,,,,,,,,3,4,1,1,6,3,,,,,,
6,2021-05-10 12:35:35,days,0,,,,,,,,,,6,7,2,7,1,4,,,,,,
4,2021-05-10 12:30:08,,,,,,,,,,,,7,,6,6,,7,,,,,,
2,2021-05-10 12:27:45,,,,,,,,,,,,,,1,1,,,,,,,,
5,2021-05-10 12:26:48,,,,,,,,,,,,4,4,5,,6,4,,,,,,
5,2021-05-10 12:24:29,,,,,,,,,,,,1,1,1,1,,1,,,,,,
0,2021-05-10 12:24:20,,,,,,,,,,,,,,,,,,,,,,,
5,2021-05-10 12:20:30,,,,,,,,,,,,1,3,,1,4,3,,,,,,
5,2021-05-10 12:19:52,,,,,,,,,,,,1,1,1,6,1,,,,,,,
6,2021-05-10 12:17:53,days,1,I am not interested in this.,Leave me alone,,,,,,,,1,1,2,2,1,2,,,,,,
"",2021-05-10 12:17:13,,,,,,,,,,,,,,,,,,,,,,,
6,2021-05-10 12:11:05,days,1,,,,,,,,,,1,6,6,5,7,7,,,,,,
"",2021-05-10 12:08:39,,,,,,,,,,,,,,,,,,,,,,,
5,2021-05-10 12:08:22,,,,,,,,,,,,6,3,,5,1,7,,,,,,
3,2021-05-10 12:07:56,,,,,,,,,,,,7,,,7,4,,,,,,,
5,2021-05-10 12:04:58,,,,,,,,,,,,1,1,1,5,1,,,,,,,
0,2021-05-10 12:04:39,continuous,0,,,,,,,,,,5,4,5,2,5,2,,,,,,
1,2021-05-10 12:03:24,,,,,,,,,,,,,5,,,,,,,,,,
0,2021-05-10 12:02:57,,,,,,,,,,,,,,,,,,,,,,,
6,2021-05-10 11:58:12,days,1,,,,,,,,,,7,7,7,7,6,7,,,,,,
"",2021-05-10 11:54:53,,,,,,,,,,,,,,,,,,,,,,,
"",2021-05-10 11:49:46,,,,,,,,,,,,,,,,,,,,,,,
6,2021-05-10 11:38:41,continuous,1,Yes,No,No,A,Male,45-65,1,B,D,4,5,1,6,1,5,4,1,6,1,6,1
5,2021-05-10 11:38:05,,,,,,,,,,,,1,5,4,4,,5,,,,,,
2,2021-05-10 11:36:46,,,,,,,,,,,,1,,,,,1,,,,,,
0,2021-05-10 11:34:11,days,0,,,,,,,,,,5,3,5,5,4,6,,,,,,
3,2021-05-10 11:33:59,,,,,,,,,,,,1,1,,,,1,,,,,,
4,2021-05-10 11:33:35,,,,,,,,,,,,4,6,,5,,5,,,,,,
6,2021-05-10 11:33:15,continuous,0,,,,,,,,,,1,1,1,4,1,2,,,,,,
1,2021-05-10 11:33:12,,,,,,,,,,,,,,,1,,,,,,,,
6,2021-05-10 11:31:27,continuous,0,,,,,,,,,,7,7,7,7,7,7,,,,,,
0,2021-05-10 11:31:00,,,,,,,,,,,,,,,,,,,,,,,
