seen_total,last seen,survey_type,engagement,engagement_1,engagement_2,engagement_3,quiz_answer,demo_gender,demo_age,demo_asked,demo_school,demo_media,question_2_pre,question_6_pre,question_4_pre,question_1_pre,question_3_pre,question_5_pre,question_2_post,question_3_post,question_6_post,question_5_post,question_1_post,question_4_post
6,2021-05-11 18:46:36,continuous,0,,,,,,,,,,5,5,5,7,5,1,,,,,,
"",2021-05-11 18:45:47,,,,,,,,,,,,,,,,,,,,,,,
0,2021-05-11 18:45:03,,,,,,,,,,,,7,7,7,7,,,,,,,,
"",2021-05-11 18:44:08,,,,,,,,,,,,,,,,,,,,,,,
0,2021-05-11 18:43:49,continuous,0,,,,B,,,,,,7,7,7,7,7,7,,,,,,
6,2021-05-11 18:43:47,continuous,0,,,,,,,,,,1,3,3,1,2,3,,,,,,
"",2021-05-11 18:43:33,,,,,,,,,,,,,,,,,,,,,,,
0,2021-05-11 18:43:30,,,,,,,,,,,,,,,,,,,,,,,
6,2021-05-11 18:41:46,continuous,0,,,,,,,,,,2,4,3,7,1,3,,,,,,
0,2021-05-11 18:40:32,,,,,,,,,,,,,,,,,,,,,,,
6,2021-05-11 18:40:19,continuous,0,,,,,,,,,,1,2,3,1,5,1,,,,,,
"",2021-05-11 18:40:15,,,,,,,,,,,,,,,,,,,,,,,
1,2021-05-11 18:39:59,,,,,,,,,,,,6,,,,,,,,,,,
6,2021-05-11 18:38:55,continuous,0,,,,,,,,,,1,2,5,1,7,4,,,,,,
2,2021-05-11 18:37:41,,,,,,,,,,,,,,,1,4,1,,,,,,
"",2021-05-11 18:37:20,,,,,,,,,,,,,,,,,,,,,,,
0,2021-05-11 18:36:43,continuous,0,,,,D,,,,,,7,5,6,7,7,5,,,,,,
6,2021-05-11 18:36:19,continuous,1,Yes,,,,,,,,,6,6,5,2,5,5,,,,,,
3,2021-05-11 18:36:03,,,,,,,,,,,,1,4,,,1,,,,,,,
0,2021-05-11 18:35:24,continuous,1,No,,,,,,,,,4,4,4,6,1,4,,,,,,
0,2021-05-11 18:35:15,continuous,0,,,,B,,,,,,6,6,6,6,6,6,,,,,,
6,2021-05-11 18:34:44,continuous,0,,,,,,,,,,4,2,3,3,4,5,,,,,,
4,2021-05-11 18:33:44,,,,,,,,,,,,,7,5,6,3,,,,,,,
4,2021-05-11 18:33:18,,,,,,,,,,,,3,1,3,3,,,,,,,,
"",2021-05-11 18:31:41,,,,,,,,,,,,,,,,,,,,,,,
0,2021-05-11 18:31:24,continuous,1,No,No,No,C,,,,,,6,6,7,5,5,6,,,,,,
0,2021-05-11 18:29:55,continuous,1,https://scontent.xx.fbcdn.net/v/t39.1997-6/cp0/39178562_1505197616293642_5411344281094848512_n.png?_nc_cat=1&ccb=1-3&_nc_sid=ac3552&_nc_ohc=vrct4UXrHO0AX9bL-oV&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&tp=30&oh=5a744a59a34383e2584252a950c1b6d9&oe=60BE8049,Yes,https://scontent.xx.fbcdn.net/v/t39.1997-6/cp0/39178562_1505197616293642_5411344281094848512_n.png?_nc_cat=1&ccb=1-3&_nc_sid=ac3552&_nc_ohc=vrct4UXrHO0AX9bL-oV&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&tp=30&oh=5a744a59a34383e2584252a950c1b6d9&oe=60BE8049,D,,,,,,7,7,7,7,7,7,,,,,,
0,2021-05-11 18:27:51,continuous,1,Yes,Yes,Yes,B,,,,,,2,4,2,2,6,1,,,,,,
0,2021-05-11 18:27:46,,,,,,,,,,,,,,,,,,,,,,,
0,2021-05-11 18:27:19,continuous,1,Yes,Yes,Yes,B,,,,,,1,5,4,2,3,2,,,,,,
2,2021-05-11 18:26:18,,,,,,,,,,,,1,1,,,,,,,,,,
0,2021-05-11 18:25:23,continuous,0,,,,D,Female,45-65,1,C,E,1,6,3,2,2,3,1,2,4,2,1,2
6,2021-05-11 18:24:54,continuous,0,,,,,,,,,,1,5,2,1,7,5,,,,,,
"",2021-05-11 18:24:19,,,,,,,,,,,,,,,,,,,,,,,
6,2021-05-11 18:22:34,continuous,1,Yes,https://scontent.xx.fbcdn.net/v/t39.1997-6/cp0/39178562_1505197616293642_5411344281094848512_n.png?_nc_cat=1&ccb=1-3&_nc_sid=ac3552&_nc_ohc=vrct4UXrHO0AX-k3S7p&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&tp=30&oh=ce4d8ea3123240dc4d171a84567a6ef9&oe=60BE8049,,,,,,,,6,7,7,6,7,7,,,,,,
0,2021-05-11 18:21:41,,,,,,,,,,,,,,,,,,,,,,,
0,2021-05-11 18:20:46,,,,,,,,,,,,7,7,1,1,7,6,,,,,,
2,2021-05-11 18:17:16,,,,,,,,,,,,7,,7,,,,,,,,,
6,2021-05-11 18:14:48,continuous,0,,,,,,,,,,5,5,6,6,7,5,,,,,,
3,2021-05-11 18:14:32,,,,,,,,,,,,,6,,6,6,,,,,,,
5,2021-05-11 18:13:06,,,,,,,,,,,,4,,4,1,3,1,,,,,,
0,2021-05-11 18:12:55,continuous,1,Yes,No,No,D,,,,,,1,1,7,7,1,7,,,,,,
1,2021-05-11 18:10:01,,,,,,,,,,,,,,,,,3,,,,,,
0,2021-05-11 18:09:49,continuous,1,Yes,Yes,Yes,A,,,,,,1,3,3,1,5,1,,,,,,
6,2021-05-11 18:09:22,continuous,0,,,,,,,,,,4,1,6,5,6,5,,,,,,
0,2021-05-11 18:08:17,days,0,,,,,,,,,,1,7,1,7,1,7,,,,,,
"",2021-05-11 18:07:46,,,,,,,,,,,,,,,,,,,,,,,
0,2021-05-11 18:07:10,continuous,1,Yes,Yes,Yes,C,,,,,,3,1,5,2,1,4,,,,,,
0,2021-05-11 18:06:15,,,,,,,,,,,,,,,,,,,,,,,
6,2021-05-11 18:06:06,continuous,1,Yes,,,,,,,,,5,3,2,2,5,5,,,,,,
0,2021-05-11 18:05:11,,,,,,,,,,,,,,,,,,,,,,,
6,2021-05-11 18:04:21,continuous,1,Yes,Yes,,,,,,,,1,1,3,1,7,1,,,,,,
3,2021-05-11 18:04:19,,,,,,,,,,,,,6,,6,6,,,,,,,
0,2021-05-11 18:04:07,,,,,,,,,,,,,,,,,,,,,,,
"",2021-05-11 18:03:57,,,,,,,,,,,,,,,,,,,,,,,
0,2021-05-11 18:02:03,,,,,,,,,,,,,,,,,,,,,,,
"",2021-05-11 18:01:28,,,,,,,,,,,,,,,,,,,,,,,
6,2021-05-11 17:59:53,continuous,1,Yes,Yes,,Dumb,,,,,,1,1,1,6,1,1,,,,,,
0,2021-05-11 17:59:45,continuous,1,Yes,No,Yes,D,,,,,,1,3,4,1,5,5,,,,,,
6,2021-05-11 17:57:16,continuous,1,Yes,Yes,,,,,,,,1,1,1,1,1,1,,,,,,
6,2021-05-11 17:56:19,continuous,0,,,,,,,,,,1,5,5,4,7,2,,,,,,
0,2021-05-11 17:52:22,continuous,1,Yes,Yes,Yes,C,,,,,,1,6,1,1,7,3,,,,,,
1,2021-05-11 17:50:31,,,,,,,,,,,,,,,,,1,,,,,,
1,2021-05-11 17:49:49,,,,,,,,,,,,,,,,,1,,,,,,
6,2021-05-11 17:47:12,continuous,1,Yes,,,,,,,,,7,7,7,7,7,7,,,,,,
"",2021-05-11 17:46:10,,,,,,,,,,,,,,,,,,,,,,,
6,2021-05-11 17:45:25,continuous,0,,,,,,,,,,4,5,4,5,2,3,,,,,,
6,2021-05-11 17:45:23,continuous,0,,,,,,,,,,1,4,3,7,1,3,,,,,,
"",2021-05-11 17:44:52,,,,,,,,,,,,,,,,,,,,,,,
0,2021-05-11 17:44:12,continuous,0,,,,A,,,,,,1,3,3,1,7,1,,,,,,
2,2021-05-11 17:37:25,,,,,,,,,,,,7,7,,,,,,,,,,
0,2021-05-11 17:36:48,continuous,1,Yes,Yes,Yes,D,,,,,,1,1,5,1,1,7,,,,,,
0,2021-05-11 17:35:50,days,0,,,,A,Male,Over 65,1,D,C,6,7,6,5,4,5,4,3,6,4,3,3
6,2021-05-11 17:34:59,continuous,1,Yes,Bye to difficult to read,,,,,,,,3,1,1,4,1,1,,,,,,
0,2021-05-11 17:33:46,continuous,0,,,,https://scontent.xx.fbcdn.net/v/t39.1997-6/p100x100/851587_369239346556147_162929011_n.png?_nc_cat=1&ccb=1-3&_nc_sid=ac3552&_nc_ohc=rChoo0BXPQQAX_8s11C&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&tp=30&oh=de818ec7d42caf07af7653489f7b953f&oe=60BA9350,,,,,,4,7,6,1,7,4,,,,,,
6,2021-05-11 17:33:34,continuous,1,No,,,,,,,,,4,5,3,7,1,4,,,,,,
"",2021-05-11 17:32:20,,,,,,,,,,,,,,,,,,,,,,,
6,2021-05-11 17:31:07,continuous,0,,,,,,,,,,2,3,1,1,4,3,,,,,,
6,2021-05-11 17:29:32,continuous,1,Yes,Yes,,,,,,,,3,3,1,1,4,1,,,,,,
6,2021-05-11 17:29:07,days,1,,,No,,Male,45-65,1,C,D,1,1,1,1,3,1,1,3,1,1,1,1
0,2021-05-11 17:27:59,continuous,0,,,,A,,,,,,1,1,6,1,7,2,,,,,,
0,2021-05-11 17:23:52,,,,,,,,,,,,,,,,,,,,,,,
6,2021-05-11 17:23:18,days,1,Yes,Yes,,A,,,,,,7,7,7,7,7,5,,,,,,
6,2021-05-11 17:22:41,continuous,1,Yes,Yes,,,,,,,,1,3,6,1,7,4,,,,,,
5,2021-05-11 17:21:28,,,,,,,,,,,,,6,4,6,4,7,,,,,,
0,2021-05-11 17:19:45,continuous,1,No,Yes,Yes,B,,,,,,3,2,2,1,2,4,,,,,,
6,2021-05-11 17:16:47,continuous,1,Yes,This sounds more like indoctrination than “research” I think I’m done.,,,,,,,,1,3,2,4,1,1,,,,,,
6,2021-05-11 17:15:34,continuous,1,Yes,Yes,,,,,,,,1,2,1,1,1,3,,,,,,
6,2021-05-11 17:15:08,continuous,0,,,,,,,,,,1,6,1,7,1,1,,,,,,
0,2021-05-11 17:14:40,,,,,,,,,,,,,,,,,,,,,,,
6,2021-05-11 17:14:33,continuous,0,,,,,,,,,,1,1,7,1,4,1,,,,,,
0,2021-05-11 17:13:18,,,,,,,,,,,,4,3,5,3,4,3,,,,,,
"",2021-05-11 17:13:08,,,,,,,,,,,,,,,,,,,,,,,
5,2021-05-11 17:12:36,,,,,,,,,,,,7,6,,7,7,3,,,,,,
0,2021-05-11 17:11:41,continuous,0,,,,A,,,,,,1,1,4,1,4,1,,,,,,
2,2021-05-11 17:07:56,,,,,,,,,,,,1,,,1,,,,,,,,
0,2021-05-11 17:04:57,,,,,,,,,,,,,,,5,,,,,,,,
6,2021-05-11 17:03:22,days,0,,,,B,,,,,,1,3,2,4,1,2,,,,,,
0,2021-05-11 16:57:16,days,1,,,,,,,,,,1,2,1,1,6,2,,,,,,
3,2021-05-11 16:55:38,,,,,,,,,,,,1,1,,,1,,,,,,,
6,2021-05-11 16:55:21,days,1,Yes,Yes,,A,,,,,,1,2,2,1,7,,,,,,,
"",2021-05-11 16:54:47,,,,,,,,,,,,,,,,,,,,,,,
0,2021-05-11 16:54:40,continuous,0,,,,A,,,,,,1,1,1,1,1,1,,,,,,
6,2021-05-11 16:54:15,days,1,Stop sending,Stop2quit,,Stop2quit,,,,,,6,6,6,1,6,1,,,,,,
6,2021-05-11 16:53:12,continuous,1,,,,,,,,,,2,2,1,1,1,1,,,,,,
0,2021-05-11 16:53:09,continuous,1,Yes,No,Yes,A,,,,,,1,1,1,1,1,1,,,,,,
"",2021-05-11 16:52:01,,,,,,,,,,,,,,,,,,,,,,,
0,2021-05-11 16:50:58,continuous,1,Yes,Yes,No,A,,,,,,1,1,1,1,1,1,,,,,,
"",2021-05-11 16:49:25,,,,,,,,,,,,,,,,,,,,,,,
6,2021-05-11 16:48:11,days,0,,,,Stop,,,,,,1,1,4,1,1,5,,,,,,
1,2021-05-11 16:47:57,,,,,,,,,,,,,,,,1,,,,,,,
0,2021-05-11 16:47:38,continuous,0,,,,C,,,,,,1,2,1,7,1,1,,,,,,
0,2021-05-11 16:46:42,,,,,,,,,,,,,,,,,,,,,,,
"",2021-05-11 16:44:27,,,,,,,,,,,,,,,,,,,,,,,
"",2021-05-11 16:43:53,,,,,,,,,,,,,,,,,,,,,,,
"",2021-05-11 16:43:33,,,,,,,,,,,,,,,,,,,,,,,
6,2021-05-11 16:42:53,continuous,0,,,,,,,,,,1,2,1,2,1,2,,,,,,
0,2021-05-11 16:40:17,continuous,0,,,,A,,,,,,1,5,4,1,7,5,,,,,,
0,2021-05-11 16:39:10,,,,,,,,,,,,,,,,,,,,,,,
0,2021-05-11 16:39:02,,,,,,,,,,,,,,,,,,,,,,,
0,2021-05-11 16:37:20,continuous,1,Yes,Yes,Yes,B,,,,,,4,7,4,7,4,6,,,,,,
0,2021-05-11 16:35:09,,,,,,,,,,,,,,,,,,,,,,,
6,2021-05-11 16:31:48,continuous,1,Yes,Yes,,,,,,,,1,1,1,1,7,2,,,,,,
0,2021-05-11 16:31:18,continuous,1,Yes,Yes,Yes,A,,,,,,1,1,6,7,6,1,,,,,,
"",2021-05-11 16:30:34,,,,,,,,,,,,,,,,,,,,,,,
5,2021-05-11 16:29:54,,,,,,,,,,,,5,7,5,,7,4,,,,,,
0,2021-05-11 16:28:24,,,,,,,,,,,,7,7,7,7,,7,,,,,,
